Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Lindsay Harper,100,41,18,15,3020.32,1079.68,35.74720559410923
Rebecca Bartley,75,41,15,7,3072.91,1027.0900000000001,33.42401827583627
Jordan Topping,100,41,11,10,2652.07,1447.93,54.59622106505484
Will Rixon,100,41,9,5,3401.6999999999994,698.3000000000001,20.52797130846342
Madeliene Young,67,41,8,5,2608.8799999999997,1491.12,57.15556100702217
Nathan Rothwell,100,40,27,12,2797.2699999999995,1202.7299999999998,42.996564507537705
Harrison Ross,100,40,22,9,3051.060000000001,948.9399999999999,31.10197767333319
Joseph Suvaljko,100,40,22,9,2987.7599999999998,1012.24,33.879561946073316
Anthony Varga,100,40,18,8,2033.4699999999998,1966.5300000000002,96.70809011197609
Donna Castles,100,40,16,15,2060.0,1940.0,94.1747572815534
Chloe Formosa,100,40,16,12,3207.2999999999997,792.7000000000002,24.715492782090863
Lochie Cook,100,40,15,14,2953.1000000000004,1046.9,35.45088212386983
David Miles,100,39,20,19,3290.3900000000003,609.6100000000001,18.526983123581097
Leonard Cain,100,39,18,18,2452.4800000000005,1447.5200000000002,59.02270354906054
Tayla French,100,39,18,14,2742.88,1157.12,42.18631511404071
David Smith,100,39,16,19,2442.6800000000003,1457.3200000000002,59.66070054202761
Blake Hughes,100,39,16,13,3031.8499999999995,868.15,28.63433217342547
Brad Elder,100,39,16,13,2860.7899999999995,1039.2100000000003,36.32597988667467
Jodi Quinlan,100,39,15,17,2722.5699999999997,1177.43,43.24700558663322
Ryan Backhouse,100,39,13,12,2251.5000000000005,1648.5,73.21785476349099
Brodie Davis,94,39,13,10,2220.72,1679.2799999999997,75.61871825353938
Isobel Ross,91,39,12,14,2462.7200000000003,1437.2800000000002,58.36148648648649
Jackie Barker,100,38,28,13,3215.3100000000004,584.6899999999999,18.18456074219904
Mathew Neilson,100,38,23,15,2719.8800000000006,980.12,36.03541332705854
Bailey McDonough,100,38,21,11,2760.18,1039.8200000000002,37.672180799802916
Corey Peterson,100,38,19,15,3328.48,471.52,14.166226025092534
Gavin Fitzpatrick,82,38,17,6,3310.12,489.88000000000005,14.799463463560237
Chris Voak,100,38,16,16,3375.87,424.13,12.56357620405999
Jim Douglass,91,38,16,13,2124.9700000000003,1675.0300000000002,78.82605401488021
Mitch Ford,100,38,16,10,2805.02,894.98,31.906367869034803
Shannon Suvaljko,100,38,16,10,3121.439999999999,678.56,21.738684709621207
Jordan Leedham,100,38,9,15,2758.76,1041.24,37.743043976279196
Brian Portelli,100,37,23,7,2497.3,1202.7,48.16001281383894
Travis Bullock,100,37,21,8,2514.18,1185.8200000000002,47.16527854012045
Chris Alford,100,37,20,12,3001.94,698.0600000000001,23.253629319706594
Jack Laugher,100,37,20,12,2668.6900000000005,1031.3099999999997,38.644803255529844
Justin Reynolds,100,37,18,14,2554.7799999999997,1145.22,44.826560408332625
Todd Rattray,100,37,18,9,3107.9500000000003,592.0500000000001,19.04953425891665
Tasmyn Potter,100,37,16,14,2438.0399999999995,1261.96,51.76125084083938
Jonah Hutchinson,100,37,16,13,2317.2600000000007,1382.7400000000002,59.67133597438353
Ewa Justice,100,37,12,17,2605.66,1094.3400000000004,41.99857233867812
Dylan Ford,100,37,12,6,2824.5099999999998,875.4899999999998,30.996172787492338
John Caldow,100,37,9,16,1961.8700000000001,1738.1299999999999,88.59557463032718
Lisa Ryan,100,36,21,14,2498.3399999999997,1101.6599999999999,44.09567953120872
Dean Cernovskis,100,36,21,11,2952.3100000000004,647.69,21.93841432640881
Mitchell Miller,100,36,19,15,3549.02,50.980000000000146,1.436452879949962
Taylor Youl,100,36,18,14,2414.62,1185.38,49.09178255791802
Joshua Gallagher,100,36,18,11,2793.77,806.2300000000001,28.85813792831909
Mark Hewitt,65,36,15,5,2219.8599999999997,1380.14,62.17238924977252
Alex Ashwood,100,35,25,14,2959.8000000000006,540.2000000000002,18.251233191431854
Alanah Richardson,100,35,25,10,2683.4399999999996,816.5600000000002,30.429597829651506
Dean Chapple,100,35,24,12,2332.18,1167.8200000000002,50.07417952302139
Kyle Harper,100,35,20,10,2889.2200000000007,610.78,21.139961650549278
Neil McCallum,100,35,20,8,2004.8700000000001,1495.1299999999999,74.57491009392129
Narissa Elkins,100,35,18,16,2929.6800000000003,570.3200000000002,19.466972502116274
Anthony Frisby,84,35,18,8,2924.3999999999996,575.6,19.682669949391332
Gareth Rattray,100,35,16,9,3127.03,272.97,8.729369401636697
Abby Sanderson,100,35,16,5,2783.9999999999995,716.0,25.718390804597707
Caitlin McElhinney,100,34,15,16,2362.0399999999995,1037.96,43.94337098440332
James Rattray,100,34,11,16,2964.56,435.44000000000005,14.688183069325635
Amanda Turnbull,100,33,25,15,3644.31,-344.3100000000001,-9.447879022366378
Shane Graham,100,33,25,11,2716.0700000000006,583.9300000000001,21.49907771154646
Matthew Craven,100,33,24,14,3035.99,264.01000000000005,8.69601019766205
Seaton Grima,100,33,23,15,3584.7299999999996,-284.73,-7.942857621076066
Chris Geary,100,33,20,10,2681.5699999999997,618.43,23.06223592895207
Ryan Warwick,100,33,20,10,2940.15,359.8500000000001,12.239171470843328
Daryl Douglas,88,33,19,6,2577.01,722.99,28.05538201248734
Damian Wilson,100,33,18,12,2275.31,1024.69,45.03518201915344
Conor Crook,100,33,17,8,2674.94,625.06,23.36725309726573
Dean Miller,100,33,16,17,2149.9999999999995,1150.0,53.48837209302326
Declan Murphy,94,33,15,12,1927.3100000000004,1372.69,71.22310370412647
Charlie Castles,90,33,13,14,2596.3799999999997,703.62,27.100039285466693
Robbie Williams,47,33,3,1,2403.58,896.4200000000002,37.29520132469068
Lola Weidemann,100,32,22,17,2165.6,1034.4,47.76505356483192
Anthony Butt,100,32,22,15,2564.77,635.2299999999999,24.767523013759515
Michael Formosa,100,32,21,10,2750.37,449.62999999999994,16.347982271476198
Jason Turnbull,100,32,17,18,1796.55,1403.45,78.11917285909104
Blake Fitzpatrick,100,32,16,15,3367.7500000000005,-167.75,-4.9810704476282375
Ellen Tormey,100,32,14,17,2923.0899999999997,276.90999999999997,9.473194462024775
Laura Wilson,100,31,23,10,2346.69,753.31,32.10095922341681
Scott Hewitt,91,31,21,10,2727.87,372.13000000000005,13.641779117040038
Kevin Weidenbach,100,31,20,13,2101.15,998.8500000000003,47.53825286152822
Mitch Turnbull,100,31,19,15,2643.19,456.8100000000001,17.28252603861244
Dannielle McMullen,100,31,17,9,2543.4199999999996,556.5799999999999,21.883133733319703
Sean O'Sullivan,100,31,14,16,1754.9799999999998,1345.0199999999998,76.64018963179066
Scott Ewen,95,30,23,18,2102.46,897.5399999999998,42.68999172398047
Andrew Bourke,100,30,18,13,1870.23,1129.77,60.40807815081567
Josh Duggan,100,30,18,8,2134.4,865.6,40.55472263868066
Ricky Duggan,80,30,16,11,2355.41,644.5900000000001,27.366360845882465
Ricky Thurlow,62,30,9,6,2075.04,924.96,44.57552625491557
Cody Wallrodt,100,29,24,7,2318.7799999999997,581.22,25.065767343171846
Chloe Butler,100,29,23,10,2960.4000000000005,-60.40000000000006,-2.0402648290771532
Trent Moffat,100,29,19,8,2191.2,708.8000000000001,32.347572106608254
Adam Richardson,100,29,18,18,2116.7599999999998,783.2399999999999,37.001832990041386
Lauren Harper,94,29,15,15,1769.1699999999998,1130.83,63.9186737283585
Liam Older,100,28,23,14,2072.8,727.1999999999999,35.08297954457738
Michael Bellman,100,28,22,14,2350.52,449.47999999999996,19.12257713186869
Paige Bevan,83,28,22,6,2366.09,433.90999999999997,18.338693794403422
Glenn McElhinney,96,28,19,12,1811.4199999999998,988.58,54.57486391891445
Jemma Coney,100,28,13,15,2499.65,300.35,12.01568219550737
Kylah Madden,70,28,10,8,1830.49,969.5099999999999,52.964506771410925
Nathan Hurst,100,27,28,10,2307.71,392.29,16.999103006876947
Bernadette Page,73,27,21,9,1808.8899999999999,791.11,43.73455544560477
Cameron Maggs,100,27,20,15,2262.210000000001,437.79,19.35231477183815
Dean Girardi,100,27,19,17,1785.86,914.14,51.187663086692126
Tiarna Ford,74,27,16,9,2389.29,310.71000000000004,13.004281606669766
Darren Billinger,81,26,16,19,2132.41,467.59,21.927771863759784
Callan Suvaljko,100,26,16,18,2363.9300000000003,236.07000000000002,9.986336312834982
Hayden Charles,100,26,16,14,2158.64,441.36,20.44620687099285
Darren Binskin,81,26,15,3,1827.01,772.99,42.309018560380075
Brent Murphy,90,26,14,12,1595.9799999999998,1004.0200000000001,62.9093096404717
Toby Lynn,85,26,14,10,2017.56,582.44,28.86853426911716
Jason Hewitt,82,26,14,9,2289.89,310.11,13.542571913934731
David Murphy,100,25,21,18,1946.3399999999997,553.6600000000001,28.446211864319704
Tristan Larsen,65,25,11,7,1028.89,1471.11,142.9802991573443
Neil Day,54,25,11,4,1515.62,984.3799999999999,64.94899776988954
Amy Day,51,25,10,6,1693.7799999999997,706.22,41.69490724887531
Mark Phillips,50,25,8,5,1407.68,1092.3200000000002,77.59718117754035
John Justice,73,24,20,11,1850.26,549.7399999999999,29.71150000540464
Ricky Gordon,93,24,16,11,1485.7100000000003,914.2900000000001,61.538927516137065
Chris Playle,68,24,15,11,1589.5100000000002,810.49,50.9899277135721
Ross Payne,64,24,15,8,1927.21,472.78999999999996,24.532355062499672
Tiana McMahon,89,24,11,14,1658.3100000000002,741.69,44.72565443131863
Ashleigh Markham,59,24,11,13,1427.98,972.02,68.06958080645387
Emma Turnbull,48,24,9,3,1269.15,1130.85,89.1029429145491
