Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Nathan Dawson,100,3,1,12,293.24000000000007,6.7600000000000495,2.30527895239396
Peter Wood,100,3,1,11,176.18,123.82000000000006,70.28039505051655
Paul Warnock,85,3,1,7,169.01000000000002,130.99,77.50428968700076
Dean Belford,58,3,1,5,158.43,141.57000000000005,89.35807612194662
Kellie Dean,59,3,1,5,145.31,154.68999999999997,106.4551648200399
Christopher Shepherdson,100,3,1,4,246.37,53.63000000000003,21.768072411413737
Jason Turner,94,3,1,2,184.48,115.52,62.619254119687774
Shane Hall,36,3,1,2,83.82,216.18000000000004,257.90980672870444
Tahlia Johnson,57,3,1,2,113.27,186.73000000000005,164.85388893793595
John Newberry,100,3,0,3,252.04999999999998,47.95000000000001,19.024003173973423
Vaughan Duncan,100,2,10,10,255.88,-55.87999999999999,-21.8383617320619
Ryan Warwick,100,2,10,9,217.82,-17.82000000000003,-8.181066936002217
Wayne Hill,100,2,8,12,308.65,-108.65000000000002,-35.20168475619635
Blake Fitzpatrick,100,2,8,9,257.10999999999996,-57.10999999999997,-22.212282680564734
Corey Bell,100,2,8,6,253.85,-53.84999999999996,-21.213314949773473
Donna Castles,100,2,8,5,277.61000000000007,-77.60999999999996,-27.95648571737327
Chris Voak,100,2,7,9,245.92,-45.92000000000001,-18.672739102147045
Blake Medlyn,100,2,7,8,290.19000000000005,-90.18999999999997,-31.079637478893122
James Locke,100,2,7,7,279.4100000000001,-79.41000000000001,-28.420600551161375
Trent Dawson,100,2,7,7,280.59999999999997,-80.6,-28.72416250890948
Raymond Walker,100,2,7,4,200.44,-0.43999999999995476,-0.21951706246255975
Jason Hewitt,100,2,6,13,253.25999999999996,-53.25999999999998,-21.029771776040427
Glenn Bull,100,2,6,11,243.60999999999999,-43.61000000000001,-17.901563975206276
Sofia Arvidsson,100,2,6,10,256.01,-56.009999999999984,-21.87805163860786
Dylan Egerton-Green,100,2,6,9,273.43000000000006,-73.42999999999998,-26.855136598032388
Lisa Ryan,100,2,6,9,308.14,-108.13999999999997,-35.094437593301734
Andrew Bourke,100,2,6,8,254.55,-54.54999999999999,-21.429974464741697
Ben Xiriha,100,2,6,8,229.57999999999998,-29.579999999999973,-12.884397595609363
Pete McMullen,100,2,6,8,327.87,-127.86999999999995,-39.00021349925274
Adam Richardson,100,2,6,7,265.46000000000004,-65.46000000000001,-24.65908234762299
Adrian Pace,100,2,6,7,249.17999999999998,-49.17999999999996,-19.7367364957059
James Dean,100,2,6,6,247.73,-47.730000000000004,-19.26694385015945
Damon Watson,100,2,6,5,250.57999999999998,-50.579999999999956,-20.18517040466117
Angus Garrard,100,2,6,4,260.38000000000005,-60.37999999999997,-23.189185037253228
Travis Bullock,100,2,6,3,277.88000000000005,-77.88,-28.02648625305887
Ashley Ainsworth,100,2,5,9,228.73999999999998,-28.74000000000002,-12.564483693276218
Blake Hughes,100,2,5,9,313.81,-113.80999999999999,-36.26716803161148
David Miles,100,2,5,9,258.31,-58.309999999999974,-22.573651813712196
Matthew Ablett,100,2,5,9,237.46,-37.459999999999944,-15.775288469636967
Rodney Petroff,100,2,5,9,300.84,-100.83999999999996,-33.51947879271373
Tom Pay,100,2,5,9,234.26999999999998,-34.26999999999997,-14.628420198915768
Declan Murphy,100,2,5,8,270.55000000000007,-70.54999999999994,-26.076510811310268
Emmett Brosnan,100,2,5,8,265.73000000000013,-65.73,-24.735633914123348
James Herbertson,100,2,5,8,302.18,-102.17999999999996,-33.81428287775497
Ben Battle,100,2,5,3,232.47999999999996,-32.47999999999997,-13.97109428768065
Darren Binskin,100,2,5,2,216.77,-16.769999999999996,-7.736310375051896
Taleah McMullen,100,2,4,13,279.22,-79.22,-28.37189313086455
Charlie Castles,100,2,4,11,303.57,-103.57000000000001,-34.11733702276246
Tom Callaghan,100,2,4,11,271.31000000000006,-71.31000000000002,-26.283587040654606
Jackson Painting,100,2,4,10,285.2700000000001,-85.27,-29.890980474638052
Justin Elkins,100,2,4,10,230.27,-30.27000000000001,-13.14543796412907
Greg Bennett,89,2,4,9,215.26000000000002,-15.259999999999991,-7.089101551612
Chloe Formosa,100,2,4,8,289.7700000000001,-89.76999999999998,-30.97974255443971
Dean Girardi,100,2,4,8,263.09000000000003,-63.09000000000001,-23.980386939830478
Michael Hardy,88,2,4,8,214.63,-14.629999999999981,-6.816381680100629
Michelle Wight,90,2,4,8,221.23,-21.22999999999996,-9.596347692446757
Ryan Hryhorec,100,2,4,8,306.3,-106.29999999999998,-34.704538034606585
Scott Osmond,100,2,4,8,252.42999999999998,-52.43,-20.770114487184568
Justin Reynolds,100,2,4,7,250.92,-50.91999999999998,-20.29332058026462
Laura Wilson,100,2,4,7,254.2,-54.19999999999994,-21.3217938630999
Mathew Neilson,100,2,4,6,260.61,-60.609999999999985,-23.2569740224857
Matt Crone,100,2,4,6,218.83999999999997,-18.84000000000003,-8.609029427892539
Jamie Bond,85,2,4,5,183.95,16.050000000000008,8.725197064419685
Kyle Pratten,100,2,4,5,232.28999999999996,-32.28999999999999,-13.900727538852294
Codi Rauchenberger,100,2,4,4,250.32,-50.31999999999997,-20.102269095557677
Nathan Townsend,81,2,4,4,208.77,-8.769999999999964,-4.2007951334003755
Rita Burnett,100,2,4,4,168.82,31.180000000000003,18.469375666390242
Scott Ewen,100,2,4,4,268.35,-68.34999999999995,-25.47046767281533
Allan Lousada,65,2,4,3,131.42000000000002,68.58,52.183838076396285
William Cassell,100,2,4,3,214.92,-14.920000000000012,-6.942117997394385
Peter Sanderson,100,2,4,2,172.19000000000003,27.81000000000002,16.15076369127128
Graham Dwyer,72,2,4,1,147.51000000000002,52.490000000000016,35.58402820147787
Leo Wallrodt,100,2,4,1,193.99999999999997,5.999999999999982,3.0927835051546304
