Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Reece Moore,48,20,9,4,2960.04,-960.04,-32.433345495331146
Paul Ashwood,34,20,6,3,2269.2799999999997,-269.28,-11.86631883240499
Craig Hayes,34,20,4,2,2394.7599999999998,-394.76,-16.484324107635004
Bruce Harpley,38,19,10,3,2486.64,-586.64,-23.59167390535019
"A J Tindale, B J Tindale",36,19,10,2,2234.21,-334.21,-14.958754996173143
Dean Atkinson,31,19,8,1,1971.96,-71.96000000000001,-3.6491612405931155
Michael Hawke,35,19,7,2,2149.55,-249.55,-11.60940661999023
Steven Lee,32,19,6,2,2036.31,-136.30999999999997,-6.693970957270748
Mark Callaghan,34,19,6,1,2097.65,-197.64999999999998,-9.422448930946533
Sam Hewitt,34,19,3,6,2241.69,-341.69000000000005,-15.242517921746543
Mitchell Dawson,29,19,2,3,1923.59,-23.590000000000018,-1.226352809070541
Tyrone Abela,27,19,2,2,1840.4499999999998,59.54999999999998,3.235621722948191
Grace Panella,28,19,1,4,1753.38,146.61999999999998,8.362134848121912
John Tormey,41,18,12,6,2571.2000000000003,-771.1999999999999,-29.99377722464218
Ashleigh Herbertson,35,18,9,3,2114.39,-314.3900000000001,-14.869063890767556
John Justice,33,18,7,3,2124.64,-324.64000000000004,-15.279765042548387
"S M McNaulty, J M McNaulty",39,18,6,8,2368.8700000000003,-568.87,-24.014403491960298
"G J Quinlan, D J Quinlan",31,18,5,5,2092.1499999999996,-292.15,-13.964103912243386
Peter Tilbrook,35,18,5,5,2201.5099999999998,-401.51000000000005,-18.237936688908977
Chloe Butler,29,18,5,2,1769.28,30.719999999999985,1.7362995116657616
Ricky Gordon,29,18,3,3,1840.6100000000001,-40.60999999999997,-2.206333769782842
Freddy Taiba,26,18,1,1,1624.56,175.43999999999997,10.799231791992908
Paul Cavallaro,40,17,12,5,2576.89,-876.8900000000001,-34.02900395437912
Mark Thompson,31,17,6,3,1982.0900000000001,-282.09,-14.231947086156529
Michael Gadsden,33,17,6,3,2011.47,-311.46999999999997,-15.484695272611571
Josh Turnbull,29,17,5,1,1824.52,-124.51999999999998,-6.824808716813188
Cristina Monte,23,17,4,2,1553.82,146.18,9.40778211118405
Adam Kelly,31,17,3,4,2012.6900000000003,-312.69000000000017,-15.535924558675212
Craig Demmler,24,17,3,2,1538.6,161.39999999999998,10.490055894969451
Chris Judd,27,17,1,3,1725.03,-25.029999999999987,-1.4509892581578283
Michael Munro,23,17,0,2,1443.8600000000001,256.14,17.7399470862826
Ingrid Smith,29,16,7,3,1803.2200000000003,-203.22,-11.26983950932221
Charlie Cini,27,16,7,2,1732.94,-132.94000000000008,-7.6713561923667335
Mick Carbone,30,16,6,3,1872.8899999999999,-272.89,-14.570530036467705
Lance Holberton,30,16,6,2,1877.7599999999998,-277.76000000000005,-14.792092706203139
Trent Moffat,29,16,6,2,1745.19,-145.19,-8.319437998154928
John Graham,24,16,4,0,1600.8700000000001,-0.8700000000000188,-0.05434544966174759
Rodney Ashwood,22,16,3,3,1433.2,166.79999999999998,11.638291934133406
Colin Godden,25,16,3,2,1488.0500000000002,111.94999999999997,7.5232687073687
Charlie Castles,22,16,3,1,1439.72,160.28,11.132720251159947
Kevin Keys,24,16,2,4,1578.1799999999998,21.819999999999993,1.3826052794991697
Stuart McDonald,22,16,1,3,1592.1000000000001,7.899999999999999,0.4961999874379749
David Waite,38,15,14,0,2361.88,-861.8799999999999,-36.491269666536816
Craig Hynam,34,15,9,1,2117.1600000000003,-617.1600000000001,-29.15037125205464
Zac Steenhuis,33,15,7,3,2044.1100000000001,-544.11,-26.618430514991854
Bronte Giorgio,26,15,5,5,1664.2999999999997,-164.3,-9.872018265937633
Nathan Hurst,28,15,5,5,1664.9900000000002,-164.99,-9.909368825037987
Leon Jurd,26,15,4,2,1665.5800000000002,-165.57999999999998,-9.94128171567862
Riley Butt,24,15,4,1,1555.52,-55.51999999999998,-3.5692244394157573
David Murphy,20,15,3,2,1213.6200000000003,286.38,23.59717209670242
Scott Ewen,21,15,2,1,1269.4400000000003,230.56,18.162339299218548
Juanita McKenzie,28,14,7,3,1751.7100000000003,-351.71000000000004,-20.078095118484224
Kristy Butler,23,14,7,1,1433.18,-33.18000000000002,-2.315131386148287
Ian Gurney,26,14,6,3,1707.24,-307.24,-17.996298118600784
Philip Chircop,23,14,6,2,1516.24,-116.24000000000007,-7.666332506727172
Ray Holberton,25,14,6,1,1666.64,-266.64,-15.998655978495654
Stephen O'Donoghue,27,14,6,1,1752.97,-352.97,-20.135541395460276
David Rodger,20,14,5,0,1211.97,188.02999999999997,15.514410422700228
Trevor Munday,28,14,3,3,1771.78,-371.78000000000003,-20.983417805822395
Nigel Johns,24,14,3,2,1584.95,-184.95000000000005,-11.669137827691728
Dean Cernovskis,28,13,9,2,1857.08,-557.08,-29.997630689038708
Matthew Horsnell,26,13,8,2,1747.18,-447.18,-25.594386382628002
Steven Duffy,30,13,7,3,1787.4399999999998,-487.44,-27.27028599561384
Tayla Gillespie,22,13,5,2,1387.5300000000002,-87.53,-6.308332072099342
Tori Hutchins,21,13,5,0,1244.53,55.46999999999997,4.457104288365887
Bill Dornauf,21,13,4,2,1551.4099999999999,-251.41000000000005,-16.20525844232022
Vic Frost,21,13,4,2,1354.39,-54.39000000000001,-4.015830004651541
Anthony Missen,24,13,3,3,1430.9899999999998,-130.99,-9.153802612177584
Darren Binskin,22,13,3,3,1349.8299999999997,-49.83000000000003,-3.6915759762340468
Anthony Frisby,23,13,3,2,1551.5099999999998,-251.51000000000002,-16.21065929320469
"E Brosnan, R J Brosnan",18,13,1,1,1143.3,156.7,13.705938948657396
Stephen Farrugia,18,13,1,0,1218.4199999999998,81.57999999999998,6.695556540437615
Jim Barker,29,12,9,5,1696.4000000000003,-496.4000000000001,-29.26196651733082
Dean Girardi,25,12,9,1,1575.19,-375.18999999999994,-23.81871393292237
Sarah Wall,24,12,9,1,1549.4299999999998,-349.43000000000006,-22.55216434430727
Jodi Quinlan,26,12,6,4,1626.0200000000002,-426.02000000000004,-26.200169739609596
Kerry Towers,23,12,5,2,1398.0,-198.00000000000006,-14.163090128755368
Michael George,21,12,4,3,1465.19,-265.18999999999994,-18.09935912748517
Stephen Cini,26,12,4,3,1605.5999999999997,-405.6000000000001,-25.261584454409576
Tayla Warren,24,12,3,5,1437.98,-237.97999999999996,-16.549604306040415
Christopher Howlett,16,12,3,0,1168.51,31.48999999999999,2.6948849389393326
Glenn Bull,19,12,2,3,1112.9,87.1,7.826399496810134
Ty Robson,20,12,2,2,1306.91,-106.91000000000004,-8.180364370920724
Adam Stephens,16,12,2,1,1018.14,181.85999999999999,17.861983617184276
Gregory Rue,16,12,2,1,1037.09,162.91000000000003,15.708376322209261
Shane Tognolini,18,12,2,1,1215.27,-15.269999999999996,-1.2565108988126092
Jake Stockton,15,12,2,0,1035.4999999999998,164.49999999999997,15.886045388701111
Mitchell Frost,15,12,1,1,963.7099999999999,236.28999999999996,24.51878677195422
Alanah Richardson,14,12,1,0,877.8399999999999,322.1600000000001,36.699170691697816
Boris Devcic,14,12,0,0,872.5799999999999,327.42,37.52320704118821
Courtney Slater,25,11,6,5,1605.86,-505.86,-31.500878034199747
Darren McCall,22,11,6,3,1311.6999999999998,-211.7,-16.139361134405732
Nick Youngson,21,11,4,4,1368.91,-268.91,-19.644096397863994
Damian Wilson,21,11,3,3,1423.6899999999998,-323.69,-22.7359888739824
Bianca Heenan,16,11,3,2,1011.7399999999999,88.25999999999999,8.723585110799217
Ken Tippet,18,11,3,2,1037.14,62.86000000000003,6.060898239389092
Keith McDeed,17,11,3,1,1059.99,40.010000000000005,3.7745639109802926
Sam Barker,19,11,2,3,1229.62,-129.62000000000003,-10.541468095834489
Lester Hewitt,18,11,2,1,1138.5800000000002,-38.58000000000002,-3.3884312037801485
Brad Lynn,20,11,2,0,1244.28,-144.28000000000003,-11.595460828752374
Danny O'Brien,16,11,1,2,1041.0,59.0,5.667627281460135
Ron Wells,17,11,1,2,1074.8799999999999,25.120000000000005,2.337005061030069
John O'Shea,17,11,1,1,1092.65,7.349999999999987,0.6726765203862158
Heather Stevens,17,11,0,4,1040.36,59.63999999999998,5.73263101234188
Kevin Charles,20,10,6,2,1309.11,-309.11,-23.61222509949508
Dayl March,20,10,5,2,1257.9399999999998,-257.9400000000001,-20.504952541456678
Corey Parker,20,10,5,0,1267.17,-267.1700000000001,-21.083990309114014
Gary Gerrard,23,10,4,4,1482.71,-482.71,-32.555927996708725
Ron Huston,18,10,4,2,1230.6299999999999,-230.63,-18.74080755385453
Rebecca Bartley,18,10,4,1,1186.61,-186.61,-15.726312773362775
David Drury,24,10,3,4,1582.48,-582.48,-36.80804812699054
Wendy Turnbull,16,10,3,1,980.4399999999999,19.55999999999998,1.9950226428950248
Peter Bullock,18,10,2,2,1038.18,-38.17999999999998,-3.677589628002849
Matthew Clayton,13,10,2,1,823.02,176.98000000000002,21.503730164516053
Susan Hunter,15,10,2,0,883.3199999999999,116.67999999999998,13.209255988769641
Stephen Clarke,14,10,0,3,841.7299999999999,158.26999999999998,18.802941560833048
Cody Wallrodt,14,10,0,1,828.9499999999999,171.04999999999995,20.634537668134385
Mick Blackmore,23,9,7,4,1469.21,-569.2099999999999,-38.74258955493087
Matt Crone,21,9,5,3,1269.6999999999998,-369.70000000000005,-29.11711427896354
Luke Tabone,17,9,5,0,1138.8700000000001,-238.87,-20.974299085936057
Kenneth Rue,15,9,4,2,930.0100000000001,-30.010000000000012,-3.2268470231502895
Gary Elson,15,9,4,0,957.9900000000001,-57.99000000000001,-6.053299094980115
Jamie Donovan,12,9,3,0,780.5299999999999,119.47000000000001,15.306266254980594
Sandra O'Connor,13,9,3,0,773.4399999999999,126.56000000000002,16.363260239966905
Robert McCartney,16,9,2,2,1025.6100000000001,-125.61,-12.247345482200835
Matt Maguire,14,9,2,1,802.75,97.24999999999999,12.114606041731546
Darrell Dwyer,18,9,0,2,1095.2099999999998,-195.21000000000004,-17.82397896293862
Tom Rundle,12,9,0,2,761.3899999999999,138.60999999999999,18.20486215999685
Bailey McDonough,11,9,0,1,692.3299999999999,207.66999999999996,29.995811246082067
Eddie Tappe,9,9,0,0,547.85,352.15,64.27854339691521
Dean Chapple,17,8,5,2,1000.6999999999999,-200.7,-20.055960827420805
John Boserio,21,8,4,2,1291.68,-491.67999999999995,-38.0651554564598
Jarred Hetherington,15,8,4,1,859.6000000000001,-59.6,-6.93345742205677
Glenn Hunter,14,8,4,0,994.02,-194.02000000000004,-19.518721957304685
Kelli Dawson,15,8,2,2,1005.4300000000001,-205.43000000000004,-20.432053947067427
David Phillips,12,8,2,1,795.3899999999999,4.609999999999999,0.5795898867222369
Peter Payne,14,8,2,1,861.44,-61.44,-7.13224368499257
Rodney Mercieca,11,8,2,1,724.4799999999999,75.52,10.424028268551238
Stewart Dickson,13,8,1,2,742.8999999999999,57.09999999999999,7.686095032978867
Chris Watson,11,8,1,0,700.6899999999999,99.30999999999999,14.173172158871969
Olivia Frisby,14,8,1,0,815.12,-15.119999999999997,-1.854941603690254
Paul Hill,9,8,1,0,582.3100000000001,217.69000000000003,37.383867699335404
Sharon Newman,9,8,1,0,623.6,176.39999999999998,28.28736369467607
Jake Davis,14,8,0,3,896.8599999999999,-96.86,-10.799901879892069
Josh Farrugia,10,8,0,1,648.3900000000001,151.60999999999999,23.382532118015387
Anna Woodmansey,10,8,0,0,688.1999999999999,111.8,16.245277535600117
Rita Burnett,13,7,4,1,822.1700000000001,-122.17000000000002,-14.859457289854896
Katie Howlett,16,7,3,3,1094.7199999999998,-394.72,-36.05670856474716
Maree Caldow,16,7,3,3,945.99,-245.99,-26.003446125223313
Richard Hutchinson,17,7,3,3,996.24,-296.24,-29.735806632939855
Gerard Jamieson,14,7,3,1,854.6300000000001,-154.63,-18.093209927102954
John Newberry,14,7,3,1,841.24,-141.24,-16.789501212495843
Michael Callegari,11,7,3,1,775.43,-75.42999999999998,-9.727506028912988
David Lewis,11,7,3,0,719.03,-19.03000000000001,-2.646621142372364
Dwayne Brown,12,7,3,0,817.2700000000001,-117.27000000000001,-14.348991153474373
Heath Woods,11,7,3,0,649.6600000000001,50.33999999999999,7.7486685343102515
Donna Castles,12,7,2,1,690.83,9.170000000000002,1.3273887931907997
Logan Egerton-Green,15,7,2,1,902.5200000000001,-202.52000000000004,-22.439391924832695
Ben Aldons,9,7,1,1,538.64,161.35999999999999,29.95692856081984
Joedy Whitaker,8,7,1,0,521.46,178.54000000000002,34.23848425574349
Michael Breen,8,7,1,0,655.3299999999999,44.669999999999995,6.816413104847939
Sarah Suvaljko,9,7,1,0,600.74,99.25999999999999,16.52295502213936
Steven Davis,11,7,1,0,607.69,92.30999999999999,15.190310849281701
Ashleigh Delosa,10,7,0,2,600.39,99.61,16.59088259298123
Brendan James,11,7,0,1,685.68,14.319999999999986,2.0884377552210927
Mark Watson,10,7,0,1,612.1600000000001,87.84,14.349189754312597
Troy Primmer,9,7,0,1,635.39,64.61000000000001,10.168557893577175
Kaycee Carey,8,7,0,0,467.68,232.32,49.67499144714335
Greg Franklin,18,6,4,3,1106.1299999999999,-506.13,-45.75682785929322
Ian Osmond,16,6,4,2,947.6700000000001,-347.6700000000001,-36.68682136186648
Mark McNee,10,6,4,0,681.8999999999999,-81.9,-12.010558732952049
Melissa Gillies,17,6,3,3,1089.5500000000002,-489.54999999999995,-44.93139369464457
Luke Mulley,12,6,3,2,757.1400000000001,-157.14,-20.754417941199772
Brett Smith,13,6,3,1,788.2400000000001,-188.23999999999998,-23.881051456409207
Darren Reay,11,6,3,1,664.47,-64.47000000000001,-9.702469637455417
David Jack,11,6,3,1,721.9000000000001,-121.90000000000002,-16.885995290206402
Graham White,12,6,3,1,708.0499999999998,-108.05,-15.260221735753127
Kevin Weidenbach,10,6,3,0,652.78,-52.78000000000001,-8.085419283679036
Charlie Chiang,13,6,2,4,779.0799999999999,-179.07999999999998,-22.98608615289829
Mike Williams,10,6,2,1,730.46,-130.45999999999998,-17.85997864359444
David Reynolds,10,6,2,0,676.5600000000001,-76.56,-11.316069528201488
Leah Holman,9,6,2,0,519.6,80.39999999999999,15.473441108545034
Rosemarie Weidenbach,9,6,2,0,657.4,-57.400000000000006,-8.731365987222391
Aaron Williams,10,6,1,1,636.5699999999999,-36.56999999999999,-5.744851312502945
Ashleigh Markham,10,6,1,1,581.0,18.99999999999997,3.2702237521514586
Mitch Turnbull,11,6,1,1,720.3,-120.29999999999997,-16.701374427321948
Ricky Hart,9,6,1,1,563.3199999999999,36.68000000000001,6.5113967194489835
Alex Johnson,7,6,1,0,408.17,191.82999999999998,46.99757454002008
Chris Hughes,8,6,1,0,522.02,77.98,14.93812497605456
Kate Attard,10,6,1,0,634.4399999999999,-34.44000000000001,-5.428409305844527
