Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Alan Cronin,33,18,8,5,1679.84,120.16000000000001,7.153062196399658
Matthew Painting,41,18,8,4,1004.91,795.09,79.12051825536615
Neville Pangrazio,57,18,7,10,1191.61,608.39,51.05613413784712
Mike Howie,37,18,6,3,829.3999999999999,970.5999999999999,117.02435495538946
Craig Abercromby,43,18,5,6,1364.7299999999998,435.2699999999999,31.89422083489042
Les Harding,33,18,5,3,1598.69,201.31,12.59218485134704
Annie Belton,38,18,2,4,1510.4000000000003,289.5999999999999,19.17372881355931
Robert McCartney,37,18,2,4,1286.76,513.24,39.88622586962604
Michael Gadsden,58,17,15,10,1604.9,95.09999999999994,5.925602841298519
Trent Hodges,69,17,14,5,1171.5099999999998,528.4900000000001,45.11186417529515
Kevin Charles,48,17,12,8,1536.5700000000002,163.42999999999995,10.636026995190582
Danny Mullan,43,17,12,3,774.4300000000001,925.57,119.51628939994576
Greg Rogers,41,17,8,3,1033.49,666.51,64.49119004538022
Paul Parsons,52,17,5,9,1173.11,526.89,44.91394668871632
Ross Collins,40,17,5,4,945.1700000000001,754.83,79.86182379889331
Bianca Ashcroft,29,17,5,2,809.77,890.23,109.93615471059684
John O'Shea,33,17,3,2,1080.8,619.1999999999999,57.29089563286453
Bailey McDonough,29,17,2,5,1030.99,669.0099999999999,64.89005712955507
Harry Martin,51,16,14,6,1355.82,244.18,18.009765308079245
Allan MacDonald,51,16,13,8,1268.0199999999998,331.98,26.18097506348481
Anthony Varga,53,16,12,7,1006.5199999999999,593.4800000000001,58.9635576044192
Michael Jnr Day,43,16,11,5,1097.57,502.42999999999995,45.77657917034904
Gary Gerrard,46,16,9,7,1645.7500000000002,-45.74999999999998,-2.7798875892450234
Brett Smith,50,16,9,4,1437.3799999999999,162.61999999999995,11.31364009517316
Mick Blackmore,35,16,8,3,1129.23,470.77,41.68946981571513
Mike Williams,37,16,7,6,1169.6699999999998,430.33,36.79071874973283
Eddie Tappe,33,16,7,4,1005.5600000000002,594.4399999999999,59.11531882732008
Peter King,37,16,7,2,1049.74,550.2600000000001,52.41869415283785
Luke Watson,40,16,6,4,793.74,806.26,101.57734270667977
Jake Davis,31,16,5,0,722.6500000000001,877.3499999999999,121.40732027952672
Wayne Justins,43,16,4,7,1107.8199999999997,492.18,44.42779512917262
"G J Quinlan, D J Quinlan",23,16,2,3,1054.5300000000002,545.4699999999998,51.726361507022055
Garry Johnson,66,15,21,9,1012.6199999999998,487.38,48.13059192984536
Jim O'Sullivan,100,15,16,10,1294.03,205.9700000000001,15.916941647411583
Albert Cefai,100,15,15,18,1472.6299999999999,27.37000000000004,1.8585795481553442
Daniel Costello,46,15,13,4,1328.5400000000002,171.46,12.90589669863158
Bruce Morgan,64,15,12,12,1165.24,334.76,28.72884555971302
Lisa Lewis,50,15,12,10,1112.8000000000002,387.2,34.79511143062544
Lily Hosking,44,15,12,5,1005.4800000000001,494.52000000000004,49.182480009547675
