Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Roger Strong,28,5,2,1,369.08,130.92000000000002,35.4719843936274
Ethan Arnott,31,5,1,3,425.98999999999995,74.00999999999999,17.373647268715228
Lochie Cook,37,4,8,5,504.51,-104.51,-20.715149352837408
Donald Harper,73,4,7,16,707.31,-307.31,-43.44771033917236
Joseph Suvaljko,73,4,7,8,715.9300000000001,-315.93,-44.128615926138025
Ryan Hryhorec,32,4,7,6,713.4399999999999,-313.44,-43.93361740300516
Blake Hughes,42,4,7,3,541.26,-141.26,-26.098363078742192
Lola Weidemann,33,4,6,5,310.11000000000007,89.88999999999999,28.986488665312297
Justin Reynolds,46,4,6,2,526.49,-126.48999999999998,-24.0251476761192
Josh Duggan,51,4,5,6,492.17,-92.16999999999999,-18.72726903305768
Ella Turnbull,46,4,4,7,533.15,-133.14999999999998,-24.974209884647845
Nathan Rothwell,38,4,4,7,731.3499999999999,-331.3499999999999,-45.306624735078955
Liam Older,24,4,4,3,369.25,30.75,8.32769126607989
Narissa Elkins,24,4,4,3,390.09,9.909999999999997,2.5404393857827676
Greg Bennett,34,4,3,7,384.16999999999996,15.830000000000005,4.120571621938207
Glenn Bull,42,4,3,4,244.2,155.80000000000004,63.80016380016382
Brendan Barnes,22,4,3,2,343.2099999999999,56.790000000000006,16.546720666647246
Heath Woods,13,4,3,0,380.17,19.829999999999995,5.216087539784831
Olivia Frisby,36,4,2,5,396.9399999999999,3.0600000000000405,0.7708973648410443
Kate Gath,29,4,2,4,453.84999999999997,-53.85000000000002,-11.865153685138267
Dean Cernovskis,16,4,1,1,116.07,283.93,244.61962608770574
Grace Panella,31,4,0,5,512.5,-112.50000000000003,-21.951219512195127
Aaron Suvaljko,26,4,0,2,219.11,180.89,82.55670667701153
Bailey McDonough,50,3,13,5,547.03,-247.02999999999994,-45.15840081896788
Stuart McDonald,69,3,8,4,678.35,-378.35,-55.77504238225105
Brodie Davis,29,3,7,2,338.81999999999994,-38.82000000000003,-11.457411014698081
Charlie Castles,18,3,6,1,525.91,-225.91000000000003,-42.95601909071895
Gaita Pullicino,21,3,5,1,509.07000000000005,-209.07000000000002,-41.06900819140786
John Caldow,38,3,4,4,419.30999999999995,-119.30999999999996,-28.453888531158327
Kyle Harper,49,3,4,3,525.36,-225.36,-42.89629968021928
Jack Stockton,22,3,4,2,305.95,-5.949999999999964,-1.944762216048362
Bernie Hewitt,13,3,4,1,319.03,-19.029999999999998,-5.964956273704667
Mark Yole,30,3,3,7,521.0,-221.0,-42.41842610364684
Ryan Warwick,53,3,3,5,478.99000000000007,-178.99,-37.36821228000584
Abby Sanderson,23,3,3,3,304.66,-4.659999999999972,-1.529573951289953
Leigh Sutton,27,3,3,3,306.71000000000004,-6.709999999999984,-2.187734341886467
Lleyton Green,28,3,3,2,398.12,-98.12,-24.645835426504572
Nathan Hurst,28,3,3,2,384.55999999999995,-84.56000000000002,-21.988766382359067
John Walters,10,3,3,1,106.42,193.57999999999998,181.90189813944747
Luke Sutherland,25,3,3,0,298.65000000000003,1.3500000000000063,0.4520341536916143
Jayson Finnis,32,3,2,5,240.14000000000001,59.859999999999985,24.92712584325809
Will Rothwell,15,3,2,5,406.58000000000004,-106.58000000000001,-26.213783265286043
David Miles,19,3,2,2,215.11,84.88999999999999,39.463530286829986
Blake Fitzpatrick,18,3,2,1,304.96999999999997,-4.9699999999999775,-1.6296684919828108
George Lee,44,3,2,1,487.13999999999993,-187.14,-38.4160610912674
Rickie Alchin,22,3,2,1,230.73,69.27000000000001,30.022103757638803
Jason Hewitt,17,3,2,0,485.89,-185.89000000000001,-38.257630327851984
Jason Kittel,33,3,1,5,330.29,-30.290000000000003,-9.170728753519635
Jonah Hutchinson,49,3,1,2,362.37,-62.37,-17.21168970941303
Amy Diebert,16,3,1,1,178.8,121.19999999999999,67.78523489932886
Brad Hewitt,11,3,1,0,245.97999999999996,54.02,21.96113505163022
Matthew Whittle,8,3,1,0,110.9,189.10000000000002,170.51397655545537
Nigel Johns,7,3,1,0,115.35999999999999,184.64000000000001,160.0554785020805
Trista Dixon,7,3,1,0,236.66000000000003,63.339999999999996,26.7641342009634
Samantha Hill,28,3,0,4,255.36999999999998,44.630000000000024,17.476602576653494
Michael Hardy,11,3,0,1,151.54000000000002,148.46,97.96753332453477
Grace Jones,19,3,0,0,258.83,41.17,15.906193254259554
Luke Thirgood,10,3,0,0,74.13,225.87,304.6944556859571
Lachlan Kennelly,51,2,8,3,627.0500000000001,-427.04999999999995,-68.10461685670998
Bernadette Page,24,2,5,3,327.96000000000004,-127.96000000000001,-39.016953286986215
Tiarna Ford,43,2,4,7,645.32,-445.32,-69.00762412446537
Hannah Lewis,27,2,3,8,398.75,-198.75,-49.843260188087775
Lauren Harper,29,2,3,7,259.12000000000006,-59.12000000000001,-22.81568385304106
Ryan Backhouse,44,2,3,6,323.95,-123.94999999999999,-38.26207748109276
Chris Geary,41,2,3,3,214.29999999999998,-14.300000000000002,-6.672888474101728
Paige Bevan,28,2,3,3,181.33999999999997,18.660000000000018,10.290062865335845
Jorja Daskalovski,20,2,3,2,323.71,-123.70999999999998,-38.21630471718513
Melissa Hawke,19,2,3,1,103.17,96.83,93.8548027527382
Tristan Larsen,18,2,2,3,227.85,-27.84999999999998,-12.222953697608068
Toby Lynn,53,2,2,2,338.61,-138.60999999999996,-40.93499896636247
Alanah Richardson,21,2,2,1,198.53,1.470000000000003,0.7404422505414814
Angela Hurst,11,2,2,1,72.81,127.19,174.68754291992857
Daryl Douglas,10,2,2,1,88.86,111.14,125.07314877335133
Jai Meikle,12,2,2,1,125.85,74.15,58.919348430671434
Shane Steele,17,2,2,1,143.72,56.28000000000001,39.15947676036738
Tanner Brown,12,2,2,1,159.69,40.30999999999999,25.24265764919531
Gareth Rattray,41,2,1,8,461.67999999999995,-261.67999999999995,-56.67995148154566
Travis Bullock,21,2,1,4,239.0,-39.00000000000002,-16.317991631799174
Gary Whitaker,14,2,1,2,183.61999999999998,16.379999999999995,8.920596884870928
Joe Taaffe,12,2,1,2,132.14,67.86,51.35462388375965
Darcy Kulcsar,16,2,1,1,113.44999999999999,86.55,76.28911414720142
Jamie Rigoli,12,2,1,1,136.98999999999998,63.01,45.99605810643113
Michael Towers,14,2,1,1,147.88,52.11999999999998,35.24479307546658
Rodney Ashwood,9,2,0,4,289.80999999999995,-89.81000000000002,-30.989268831303278
Lauren White,14,2,0,3,90.41,109.59,121.21446742616968
Noel Parrish,18,2,0,3,77.83000000000001,122.16999999999999,156.97031992804827
Chris Walsh,10,2,0,2,46.739999999999995,153.26,327.8990158322636
Malcom Jones,15,2,0,2,141.45999999999998,58.53999999999999,41.38272303124558
Rebecca Bartley,8,2,0,2,212.54000000000002,-12.54,-5.90006586995389
Chris Lang,6,2,0,1,114.75999999999999,85.24000000000001,74.27675148135239
Dannielle McMullen,6,2,0,1,115.96,84.04,72.47326664367024
Klayton Bigeni,15,2,0,1,161.65999999999997,38.34,23.716441915130527
Ros Rolfe,6,2,0,1,121.63,78.37,64.43311682972951
Abbey Turnbull,14,2,0,0,232.53999999999996,-32.53999999999999,-13.993291476735184
Allan McDonough,5,2,0,0,140.48999999999998,59.51,42.358886753505594
Ashleigh Markham,7,2,0,0,85.39999999999999,114.6,134.192037470726
Donna Castles,10,2,0,0,100.11,99.89,99.7802417340925
Fred Spiteri,2,2,0,0,26.709999999999997,173.29000000000002,648.7832272557096
Jason Grimson,6,2,0,0,36.24999999999999,163.75,451.7241379310346
Kelvin Winnell,7,2,0,0,23.89,176.11,737.1703641691084
Nicholas O'Connor,7,2,0,0,145.07999999999998,54.92,37.85497656465399
Zara Fitzpatrick,34,1,8,3,296.95,-196.95,-66.32429701970028
David Smith,35,1,6,5,338.33,-238.33,-70.44305855230103
Tamara Battle,29,1,6,5,524.5400000000001,-424.54,-80.93567697411063
Scott Hewitt,34,1,6,2,550.8100000000001,-450.81000000000006,-81.84491930066629
Chris Svanosio,16,1,4,3,166.01999999999998,-66.02,-39.76629321768462
