Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
S P Farrugia,100,14,9,9,1679.09,-279.09000000000003,-16.621503314295246
E J Jones,100,14,11,15,1625.38,-225.37999999999985,-13.866295881578452
C D Goble,100,14,13,8,1289.16,110.83999999999999,8.597846659840515
S M Grima,100,14,13,9,1840.7299999999998,-440.7299999999999,-23.9432181797439
J T O'Shea,100,14,14,14,1968.8200000000002,-568.82,-28.891417194055325
M P Rue,100,14,16,8,1647.0200000000002,-247.02,-14.997996381343274
A A Herbertson,100,14,17,12,1781.42,-381.41999999999996,-21.41100919491192
D Egerton-Green,100,14,17,15,1888.7999999999997,-488.8,-25.878864887759427
K N Prentice,100,14,18,10,1708.85,-308.85,-18.07355824092226
R J Mellsop,100,15,9,12,1982.4399999999996,-482.43999999999994,-24.335667157644117
M L Russo,100,15,10,14,1313.25,186.75000000000003,14.220445459737297
G C Hewitt,100,15,11,7,1872.2500000000002,-372.25,-19.88249432501001
S L Ewen,100,15,11,10,1559.59,-59.58999999999999,-3.8208759994613963
G A Panella,100,15,12,8,1719.86,-219.85999999999996,-12.783598665007615
C R Judd,100,15,13,14,1729.8100000000002,-229.80999999999992,-13.285274105248549
W T Graham,100,15,13,14,1416.8600000000001,83.14000000000014,5.8679050858941695
L P O'Neill,100,15,13,15,1518.0699999999997,-18.069999999999933,-1.1903271917632214
M N Clayton,100,16,2,9,1407.1899999999998,192.81000000000003,13.701774458317646
R P Butt,100,16,8,11,1581.3900000000003,18.60999999999996,1.1768128039256576
J L Stockton,100,16,10,14,1846.09,-246.09000000000006,-13.330336007453594
N A Turvey,100,16,12,6,2168.12,-568.1199999999999,-26.20334667822814
A J Dunn,100,16,12,17,2127.6,-527.6000000000001,-24.797894341041555
L E Wilson,100,16,13,8,1570.1699999999998,29.830000000000027,1.8997942897902793
R K Bartley,100,16,13,11,1526.7099999999998,73.29000000000009,4.800518762567881
C B Frisby,100,16,13,15,1808.8499999999997,-208.8499999999998,-11.546009895790133
M A Laugher,100,16,14,10,1479.7600000000002,120.23999999999997,8.125641995999349
C D Brown,100,16,16,10,1944.8999999999996,-344.89999999999986,-17.733559566044523
G F Dwyer,100,16,16,11,1674.7900000000002,-74.79000000000002,-4.465634497459384
A P Gath,100,16,16,13,1865.05,-265.04999999999995,-14.211415243559152
R M Hryhorec,100,16,16,14,2302.3900000000003,-702.3899999999999,-30.506994905294054
"J K Neilson, K Wilson",100,16,16,18,1745.4,-145.39999999999992,-8.330468660478967
G J Gerrard,100,16,16,19,2052.7499999999995,-452.74999999999994,-22.05577883327244
M J Craven,100,17,5,19,1702.36,-2.359999999999963,-0.1386310768580067
J B Tormey,100,17,8,14,1532.85,167.14999999999998,10.904524252209935
R J Alchin,100,17,9,7,2034.3499999999995,-334.35,-16.435225010445603
L R Edwards,100,17,12,8,1708.18,-8.179999999999952,-0.47887224999707007
J G Painting,100,17,13,17,2251.63,-551.63,-24.499140622571204
D M Miles,100,17,14,13,1511.33,188.67000000000007,12.483706404292914
S R Graham,100,17,21,10,2237.87,-537.87,-24.034908193952287
D J D Smith,100,18,12,13,2281.71,-481.71,-21.111797730649382
A J Turnbull,100,18,13,14,1959.69,-159.68999999999986,-8.148737810572072
B M Battle,100,18,14,12,2121.0000000000005,-320.99999999999994,-15.13437057991513
B A Lilley,100,18,14,14,1897.5699999999997,-97.57000000000004,-5.141839299735981
D M Atkinson,100,18,15,10,2151.16,-351.15999999999997,-16.324215771955597
G E Hall Jnr,100,18,16,11,2880.19,-1080.19,-37.50412299188595
J J Alchin,100,18,16,15,2110.05,-310.0499999999999,-14.6939645979953
K J Marshall,100,18,16,18,2201.2299999999996,-401.22999999999996,-18.22753642281815
S A Grimsey,100,18,17,10,1882.58,-82.57999999999996,-4.38653337441171
D W Girardi,100,18,18,17,1869.51,-69.50999999999992,-3.7180865574401802
K W Weidenbach,100,18,20,13,1873.86,-73.85999999999999,-3.941596490666324
T R Langley,100,19,15,7,1605.9499999999998,294.04999999999995,18.31003455898378
C D Svanosio,100,19,20,17,1591.79,308.2099999999999,19.362478718926486
A F De Campo,100,19,22,10,2318.76,-418.7599999999999,-18.0596525729269
C D Voak,100,20,12,10,1997.6999999999998,2.3000000000000256,0.11513240226260328
C T Crook,100,20,13,12,2725.2599999999998,-725.26,-26.61250669660877
T M Ison,100,20,13,12,1974.6799999999998,25.320000000000007,1.2822330706747427
"S M McNaulty, J M McNaulty",100,20,14,15,2374.96,-374.96000000000004,-15.788055377774784
D J Thorn,100,20,15,10,2274.41,-274.41,-12.065106994781067
C V Castles,100,20,19,9,1895.13,104.87,5.533657321661311
M I Stanley,100,20,19,9,2233.2599999999998,-233.26000000000005,-10.444820576198028
R P Bell,100,21,9,9,1920.35,179.65,9.355065482854688
B M Hewitt,100,21,9,16,2332.2699999999995,-232.26999999999995,-9.95896701496825
D G Weeks,100,21,11,15,2075.1,24.899999999999988,1.1999421714616159
S T Sanderson,100,21,19,12,2256.65,-156.64999999999998,-6.941705625595461
M D Horsnell,100,22,19,6,2001.8799999999997,198.12000000000003,9.896697104721564
S M Price,100,22,19,14,2118.59,81.41000000000005,3.8426500644296464
M D Young,100,23,6,15,2445.96,-145.95999999999995,-5.967391126592419
K A Morris,100,23,12,14,1811.2399999999998,488.76,26.98482807358495
J K Prentice,100,23,14,11,2080.3999999999996,219.60000000000002,10.555662372620652
A M Ashwood,100,23,15,11,2706.6900000000005,-406.6899999999999,-15.025363081845347
M G Brennan,100,24,13,12,2985.64,-585.64,-19.61522487640841
"G F J Bond, S A Bond",100,24,16,16,2733.82,-333.82,-12.210752719637723
C A Turnbull,100,24,18,13,2309.330000000001,90.66999999999999,3.9262470067075714
L A McCarthy,100,24,20,6,2471.38,-71.38,-2.8882648560723156
T J Hutchins,100,25,16,18,2844.5899999999997,-344.5900000000001,-12.113872297941008
M G Dawson,100,25,19,9,2322.2599999999993,177.7400000000001,7.653751087302893
R W Jack,100,25,24,15,3176.34,-676.3399999999999,-21.29306056656403
G E Hall Snr,100,26,14,7,3069.75,-469.75,-15.30254906751364
C A Turpin,100,26,16,17,2977.4700000000003,-377.47,-12.677541671284681
L C Pitt,100,27,11,20,2727.2300000000005,-27.229999999999976,-0.9984489757006183
J R Grimson,100,31,16,8,3940.8700000000003,-840.87,-21.337166666243746
"M A Lee, P D Lee",100,32,14,11,2933.7499999999995,266.25000000000006,9.075415423945465
E J Stewart,100,49,20,7,5391.210000000001,-491.20999999999987,-9.11131267377824
