Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Tarah McNamara,13,2,2,1,253.41000000000003,-53.41000000000001,-21.07651631743025
Ashley Manton,12,2,2,0,213.4,-13.400000000000016,-6.279287722586699
Jeff Regazzoli,6,2,2,0,151.75999999999996,48.24,31.787032156035856
Tony Giglietta,6,2,2,0,227.23999999999998,-27.239999999999995,-11.987326174969194
Warren Greene,16,2,2,0,198.56,1.440000000000012,0.7252215954875161
Ben Aldons,25,2,1,6,505.0399999999999,-305.03999999999996,-60.399176302867104
Brad Angove,16,2,1,5,288.15,-88.15,-30.59170570883221
Antti Ruokonen,8,2,1,4,176.54999999999998,23.45000000000001,13.282356273010484
Matthew McCaffery,21,2,1,4,169.98,30.02000000000001,17.66090128250383
Ricky Ryan,25,2,1,4,502.36,-302.36,-60.18791305040211
Peter Lew,12,2,1,3,187.59999999999997,12.40000000000001,6.609808102345421
Brett Davis,17,2,1,2,191.07999999999998,8.92,4.668201800293071
Clive Dalton,14,2,1,2,350.0299999999999,-150.03,-42.86204039653745
Dylan Xerri,7,2,1,2,180.52999999999997,19.47,10.784911095108846
Joedy Whitaker,35,2,1,2,374.37,-174.37000000000003,-46.57691588535407
Kate MacLeod,11,2,1,2,275.91,-75.91,-27.512594686673186
Steven Harris,11,2,1,2,183.48000000000002,16.519999999999996,9.003706126008282
Brandon Bonavia,12,2,1,1,225.67000000000002,-25.669999999999995,-11.375016617184382
Charles Draper,16,2,1,1,142.15999999999997,57.84000000000001,40.686550365785045
Charlie Martin,17,2,1,1,250.61,-50.609999999999985,-20.194724871313987
Craig Hoban,11,2,1,1,354.11,-154.10999999999999,-43.52037502470983
James Warnock,18,2,1,1,289.1,-89.09999999999998,-30.819785541335172
Kyle Anderson,12,2,1,1,274.12,-74.12,-27.039252881949512
Rob Brown,15,2,1,1,189.00999999999996,10.989999999999993,5.814507168932858
Thomas Parnell,18,2,1,1,201.81,-1.8099999999999934,-0.8968832069768562
Adam Rudd,10,2,1,0,311.89,-111.89,-35.87482766359935
David Lewis,7,2,1,0,245.57999999999998,-45.58000000000002,-18.560143334147742
Emanuel Portelli,8,2,1,0,165.5,34.5,20.84592145015106
Joseph Suvaljko,5,2,1,0,59.72,140.28,234.8961821835231
Leon Fanning,5,2,1,0,125.4,74.6,59.48963317384369
Michael Mannix,33,2,1,0,201.07000000000002,-1.07000000000001,-0.5321529815487194
Todd Prest,7,2,1,0,161.07999999999998,38.92,24.16190712689347
Wayne Jackson,7,2,1,0,122.19000000000001,77.80999999999999,63.679515508634076
Laura Osborn,22,2,0,4,198.48000000000002,1.5200000000000014,0.7658202337767036
Ian Slater,22,2,0,3,259.63,-59.63,-22.967299618688134
Robin Zec,8,2,0,3,149.2,50.800000000000026,34.04825737265417
Sam Ison,29,2,0,3,194.18999999999997,5.810000000000013,2.9919151346619364
Martin Zerafa,9,2,0,2,147.18,52.82,35.888028264709874
Mitch Cox,8,2,0,2,139.76,60.239999999999995,43.10246136233543
Rodney Blythe,18,2,0,2,178.65999999999997,21.340000000000014,11.944475540132105
Billy Weidenbach,11,2,0,1,302.46999999999997,-102.47,-33.87773994115119
Breanna Lindsay,14,2,0,1,249.52999999999997,-49.529999999999994,-19.849316715425
John Lee,4,2,0,1,64.7,135.3,209.1190108191654
Rob O'Connell,5,2,0,1,120.69999999999999,79.30000000000001,65.70008285004144
David Harris,41,1,13,7,698.05,-598.05,-85.67437862617291
Jodi Quinlan,48,1,10,13,813.11,-713.11,-87.70154099691308
Terrence Keenan,20,1,9,3,356.53,-256.53,-71.95186940790396
Frank Bonnett,32,1,7,2,398.33,-298.33,-74.895187407426
Mal Bagnato,18,1,7,2,400.98999999999995,-300.99,-75.06172223746229
Jeremy Thornton,24,1,7,0,330.65,-230.64999999999998,-69.75654014819295
Anthony Frisby,33,1,6,5,606.48,-506.48,-83.51141010420788
Phil Mitchell,47,1,6,5,450.94,-350.93999999999994,-77.8241007672861
John Conry,18,1,6,3,381.25,-281.25,-73.77049180327869
Michael Blakemore,23,1,6,3,456.04,-356.03999999999996,-78.07209893868958
Tiana McMahon,20,1,6,2,207.90999999999997,-107.90999999999998,-51.90226540329951
Phillip Bryce,37,1,5,7,407.30000000000007,-307.30000000000007,-75.44807267370489
Basil Dooley,23,1,5,6,454.87,-354.87000000000006,-78.01569679249017
Matthew Gath,30,1,5,6,375.9,-275.9,-73.39718010109071
Julie Vernon,17,1,5,4,369.08,-269.08,-72.90560312127452
Kylie Garaty,37,1,5,4,480.44000000000005,-380.44000000000005,-79.18574639913413
Neil Kliendienst,24,1,5,4,369.46000000000004,-269.46000000000004,-72.93347047041628
Tina Ridis,25,1,5,4,398.49,-298.49,-74.90526738437602
Wade Judd,23,1,5,3,238.53999999999996,-138.53999999999996,-58.078309717447794
Anthony Schembri,17,1,5,1,279.8,-179.8,-64.2601858470336
Gregory Schofield,26,1,5,1,232.63,-132.63,-57.01328289558526
Steve Lukac,36,1,5,1,627.34,-527.3399999999999,-84.05968055599833
Daniel Anforth,31,1,4,6,389.17999999999995,-289.18,-74.30494886684825
Darren Schofield,30,1,4,6,317.03000000000003,-217.03,-68.4572437939627
Gary Elson,36,1,4,6,594.21,-494.21000000000004,-83.17093283519294
Adrian Shanks,36,1,4,4,424.52000000000004,-324.52000000000004,-76.44398379346086
Phill Keats,32,1,4,4,402.33,-302.33,-75.14478164690676
Bryce Campbell,16,1,4,3,349.77,-249.76999999999998,-71.40978357206164
Vin Mahar,11,1,4,3,215.19,-115.19,-53.529439100329945
Albert Cefai,41,1,4,2,406.22,-306.22,-75.38279749889223
David Hunter,13,1,4,2,207.01,-107.00999999999998,-51.693154920052166
Barry Ainsworth,18,1,4,1,298.92,-198.92000000000002,-66.54623310584772
Billy Muscat,16,1,4,1,236.68999999999997,-136.69,-57.750644302674395
Kaiden Hayter,7,1,4,1,200.65000000000003,-100.65,-50.161973585846
Peter Badenoch,11,1,4,0,153.08,-53.080000000000005,-34.67467990593154
Ken Dihm,17,1,3,8,319.41,-219.41,-68.69227638458408
Brian McCall,24,1,3,7,309.78,-209.78,-67.7190264058364
Danny Malone,28,1,3,5,356.4,-256.4,-71.94163860830527
David Abrahams,18,1,3,4,377.48,-277.48,-73.50853025325846
Chris Angove,18,1,3,3,278.26,-178.26,-64.06238769496154
Jenny Anderson,15,1,3,3,140.85999999999999,-40.85999999999999,-29.007525202328548
John Murphy,24,1,3,3,299.27,-199.27,-66.58535770374579
Leighton Burns,14,1,3,3,181.95999999999998,-81.95999999999998,-45.042866564080015
Luke Hooper,9,1,3,2,132.17,-32.17,-24.339865324960282
Norm Jerrick,17,1,3,2,253.93,-153.93,-60.61906824715473
Phil Pavlovich,18,1,3,2,201.16,-101.16,-50.2883276993438
Scott Torney,30,1,3,2,155.62,-55.62000000000001,-35.74090733838839
Steven Zammit,16,1,3,2,287.77,-187.77,-65.25002606248046
Caitlin Guppy,21,1,3,1,216.2,-116.19999999999999,-53.74653098982424
Cameron Maggs,30,1,3,1,452.74000000000007,-352.74,-77.91226752661571
Gerard Jamieson,15,1,3,1,366.30999999999995,-266.30999999999995,-72.70071797111736
Greg Lewis,18,1,3,1,137.82999999999998,-37.82999999999999,-27.446854821156496
Owen Martin,23,1,3,1,190.04,-90.03999999999998,-47.37949905283097
Tony Bond,7,1,3,1,164.39999999999998,-64.39999999999999,-39.17274939172749
Anthony Collins,17,1,3,0,274.40999999999997,-174.40999999999997,-63.558179366641156
Chris Feast,8,1,3,0,165.75,-65.75,-39.66817496229261
Mark Lee,6,1,3,0,221.51,-121.50999999999999,-54.85531127262877
Bruce Stanley,47,1,2,8,528.27,-428.2699999999999,-81.07028602797811
Paul Parsons,53,1,2,6,789.12,-689.12,-87.32765612327657
Robert Abercromby,29,1,2,6,419.40000000000003,-319.40000000000003,-76.15641392465426
Aaron Williams,24,1,2,5,405.56,-305.56,-75.34273597001678
Joshua Carroll,27,1,2,5,238.07999999999998,-138.07999999999998,-57.997311827956985
Kaycee Carey,16,1,2,5,293.58,-193.57999999999998,-65.93773417807752
Rebecca Brewer,19,1,2,5,161.42,-61.419999999999995,-38.049807954404656
Graham Lyon,14,1,2,4,279.4,-179.39999999999998,-64.20901932712955
Justin Lane,13,1,2,4,305.98999999999995,-205.99,-67.31919343769405
Norman Snr Diebert,13,1,2,3,154.61999999999998,-54.61999999999998,-35.32531367222869
Shane Gaebler,13,1,2,3,373.74,-273.74,-73.24343126237491
Eugene Harris,22,1,2,2,234.94,-134.94,-57.43594109134247
Jonathan O'Connor,27,1,2,2,249.04,-149.04,-59.84580790234501
Leo Wallrodt,30,1,2,2,331.93000000000006,-231.93,-69.873166028982
Rhett Markey,12,1,2,2,139.04000000000002,-39.04,-28.078250863060983
Stacey Hardy,12,1,2,2,184.82999999999998,-84.82999999999998,-45.89622896715901
Alan Ratnasingham,24,1,2,1,352.78999999999996,-252.79,-71.65452535502708
Darren Harris,12,1,2,1,87.67999999999999,12.319999999999995,14.051094890510946
Dean Chandler,25,1,2,1,206.12000000000003,-106.11999999999999,-51.48457209392585
Graeme Hammond,10,1,2,1,115.17999999999999,-15.180000000000005,-13.179371418649078
Graeme Hunter,7,1,2,1,124.26,-24.25999999999999,-19.523579591179775
Gregory Cattell,13,1,2,1,120.53999999999998,-20.539999999999992,-17.039986726397874
Kenneth Natty,12,1,2,1,106.30999999999999,-6.309999999999992,-5.935471733609249
Mary-Jane Mifsud,16,1,2,1,257.12,-157.12,-61.1076540136901
Michael Souden,11,1,2,1,179.88000000000002,-79.88,-44.40738269957748
Paddy Meade,9,1,2,1,150.54,-50.54,-33.57247243257606
Philip Maguire,15,1,2,1,160.48999999999998,-60.49,-37.6908218580597
Barry Williams,9,1,2,0,132.88,-32.88000000000001,-24.744130042143293
Clinton Pearce,13,1,2,0,181.37999999999997,-81.38000000000001,-44.8671297827765
Garth Hurrell,7,1,2,0,88.98,11.02,12.384805574286355
Mark Gledhill,20,1,2,0,339.86999999999995,-239.87,-70.57698531791569
Neville Pangrazio,14,1,2,0,296.53000000000003,-196.53,-66.27659933227666
Peter King,15,1,2,0,205.3,-105.3,-51.290793960058444
Sam Flourentzou,12,1,2,0,153.95000000000002,-53.95,-35.043845404352055
Steve Benham,14,1,2,0,166.11999999999998,-66.11999999999999,-39.802552371779434
Dannielle McMullen,33,1,1,6,418.71000000000004,-318.71000000000004,-76.1171216354995
Kevin Medlyn,18,1,1,6,161.47,-61.470000000000006,-38.06899114386574
Roy Roots Snr,31,1,1,6,350.36999999999995,-250.36999999999995,-71.45874361389389
Jason Gaffney,26,1,1,5,382.24,-282.24,-73.83842611971536
Chris Bourke,26,1,1,4,415.16999999999996,-315.16999999999996,-75.91348122455861
Don Rudd,17,1,1,4,232.2,-132.2,-56.93367786391042
Mick Benham,24,1,1,4,434.48,-334.48,-76.98398085067207
Peter Wood,32,1,1,4,189.58999999999997,-89.58999999999997,-47.254602035972354
David Van Ryn,15,1,1,3,330.82000000000005,-230.81999999999996,-69.77208149446827
Stephen Lambert,11,1,1,3,208.88,-108.88000000000001,-52.12562236690924
Claire MacDonald,9,1,1,2,167.93,-67.93,-40.45137855058656
Darryle Rusten,23,1,1,2,181.87,-81.86999999999999,-45.01567053389783
Des Pollock,22,1,1,2,147.33999999999997,-47.33999999999999,-32.12976788380616
Jamie Bond,12,1,1,2,130.35,-30.349999999999987,-23.283467587265047
Neil Rowley,7,1,1,2,128.76,-28.76,-22.33612923268096
Caitlin McElhinney,23,1,1,1,340.81,-240.81,-70.65813796543529
Chris Viney,6,1,1,1,100.03999999999999,-0.03999999999999204,-0.03998400639743307
Daniel Zammit,3,1,1,1,64.31,35.69000000000001,55.496812315347555
Dennis Picker,10,1,1,1,133.14,-33.14,-24.89109208352111
Don Lock,21,1,1,1,255.08,-155.07999999999998,-60.79661282734827
"G M Moss, D M Wicks-Moss",15,1,1,1,115.97,-15.969999999999999,-13.77080279382599
Grant Picker,5,1,1,1,116.97,-16.970000000000002,-14.507993502607508
