Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Shane Graham,100,12,14,10,1566.9399999999996,-366.94,-23.417616500950903
Jocelyn Young,100,12,14,8,1532.44,-332.44,-21.693508391845683
Vaughan Duncan,100,12,13,12,1199.1999999999998,0.8000000000000185,0.06671114076050856
Brendan Barnes,100,12,12,16,1215.8900000000003,-15.889999999999969,-1.306861640444445
Tom Callaghan,100,12,11,15,1729.8300000000002,-529.83,-30.629021348918677
Chloe Formosa,100,12,11,11,1343.76,-143.76,-10.698338989105197
Rebecca Bartley,100,12,11,11,1223.3200000000002,-23.319999999999915,-1.9062878069515672
Stuart McDonald,100,12,10,10,1371.6100000000001,-171.60999999999993,-12.511573989690941
Shannon Suvaljko,100,12,8,18,1436.8799999999999,-236.88,-16.48571905795891
Ajay Markham,100,12,8,10,980.41,219.5900000000001,22.397772360543048
Jackie Barker,100,11,19,20,1625.8499999999997,-525.8499999999999,-32.34308208014269
Tiana McMahon,100,11,17,12,1078.8400000000001,21.160000000000114,1.9613659115346214
Nathan Jack,100,11,16,10,1706.76,-606.7600000000001,-35.55039958752256
Aldo Cortopassi,100,11,15,9,1588.2399999999998,-488.24,-30.740945952752735
Angus Garrard,100,11,14,13,1767.6599999999999,-667.66,-37.770838283380286
Dean Girardi,100,11,14,11,1167.1,-67.09999999999997,-5.749293119698395
Aaron Dunn,100,11,13,18,1808.8200000000002,-708.82,-39.186873210159106
Tristan Larsen,100,11,13,10,1090.34,9.660000000000036,0.8859621769356381
Madeliene Young,100,11,12,16,1451.7600000000002,-351.76,-24.229900258995972
Charlie Castles,100,11,12,10,1511.03,-411.03000000000003,-27.20197481188329
John O'Shea,100,11,12,8,1522.73,-422.72999999999996,-27.76132341255508
Tasmyn Potter,100,11,11,19,1210.5699999999997,-110.57000000000002,-9.133713870325554
Jack Chapple,100,11,11,11,1324.21,-224.21000000000006,-16.931604503817375
Abbey Turnbull,100,11,11,10,1600.69,-500.68999999999994,-31.27963565712286
Dylan Egerton-Green,100,11,10,13,1721.8099999999997,-621.81,-36.113740772791424
Jacob Duggan,100,11,10,9,961.4699999999998,138.52999999999997,14.40814585998523
Gary Bond,100,11,9,16,1346.95,-246.95,-18.33401388321764
Adam Richardson,100,11,9,8,1250.75,-150.74999999999986,-12.052768338996591
Reagan Clarke,100,11,8,11,1139.8200000000002,-39.81999999999994,-3.493534066782469
Robert Morris,100,11,8,7,1317.46,-217.45999999999998,-16.506003977350353
Ross Payne,100,11,7,17,1056.87,43.13000000000003,4.08091818293641
Isobel Ross,100,10,17,17,1653.11,-653.11,-39.50795772816086
Amy Day,100,10,14,11,1070.09,-70.08999999999995,-6.54991636217514
Kyle Symington,100,10,13,12,1244.51,-244.50999999999993,-19.647090019365045
Will Rothwell,100,10,13,11,1648.4999999999998,-648.5,-39.33879284197756
Blake Jones,100,10,11,15,1514.3,-514.3,-33.962887142574125
Tamara Battle,100,10,11,13,1233.36,-233.35999999999996,-18.920671985470584
Michael Formosa,100,10,10,7,1008.66,-8.659999999999956,-0.8585648285844542
Bailey McDonough,100,10,9,18,1456.3899999999999,-456.39,-31.33707317408112
David Murphy,100,10,9,15,1239.35,-239.35000000000002,-19.312542865211608
Mathew Neilson,100,10,9,15,1227.34,-227.33999999999997,-18.522984666025714
Mitch Ford,100,10,9,12,1742.6,-742.5999999999998,-42.61448410421209
Harry O'Neill,100,10,9,10,983.4499999999998,16.550000000000082,1.6828511871472964
