StatLevel,Venue,Distance,Start,Gait,FieldSize,Position,Sts,W,Spend,P&L,SR,ROI
FieldSize,Ararat,2570,Stand,TROTTERS,11,LEAD,1,0,10.53,-10.53,0.0,-100.0
FieldSize,Ararat,2570,Stand,TROTTERS,12,LEAD,1,0,20.0,-20.0,0.0,-100.0
FieldSize,Ararat,2570,Stand,TROTTERS,6,LEAD,2,0,1.45,-1.45,0.0,-100.0
FieldSize,Ararat,2570,Stand,TROTTERS,9,LEAD,3,0,40.62,-40.62,0.0,-100.0
FieldSize,Armidale,1609,Mobile,PACERS,10,B/LEAD,23,2,272.88,-72.88,8.7,-26.7
FieldSize,Armidale,1609,Mobile,PACERS,6,B/LEAD,1,0,23.81,-23.81,0.0,-100.0
FieldSize,Armidale,1609,Mobile,PACERS,7,B/LEAD,2,0,19.82,-19.82,0.0,-100.0
FieldSize,Armidale,1609,Mobile,PACERS,8,B/LEAD,3,0,25.78,-25.78,0.0,-100.0
FieldSize,Armidale,1609,Mobile,PACERS,9,B/LEAD,11,1,74.95,25.05,9.1,33.4
FieldSize,Armidale,1609,Mobile,PACERS,10,DEATH,22,4,457.89,-57.89,18.2,-12.6
FieldSize,Armidale,1609,Mobile,PACERS,6,DEATH,1,0,26.32,-26.32,0.0,-100.0
FieldSize,Armidale,1609,Mobile,PACERS,7,DEATH,2,1,101.97,-1.97,50.0,-1.9
FieldSize,Armidale,1609,Mobile,PACERS,8,DEATH,3,0,98.31,-98.31,0.0,-100.0
FieldSize,Armidale,1609,Mobile,PACERS,9,DEATH,11,1,109.98,-9.98,9.1,-9.1
FieldSize,Armidale,1609,Mobile,PACERS,10,LEAD,22,7,610.67,89.33,31.8,14.6
FieldSize,Armidale,1609,Mobile,PACERS,6,LEAD,1,1,3.23,96.77,100.0,2996.0
FieldSize,Armidale,1609,Mobile,PACERS,7,LEAD,2,1,46.71,53.29,50.0,114.1
FieldSize,Armidale,1609,Mobile,PACERS,8,LEAD,3,2,102.02,97.98,66.7,96.0
FieldSize,Armidale,1609,Mobile,PACERS,9,LEAD,11,2,352.4,-152.4,18.2,-43.2
FieldSize,Armidale,1980,Mobile,PACERS,8,B/LEAD,1,0,21.74,-21.74,0.0,-100.0
FieldSize,Armidale,1980,Mobile,PACERS,8,DEATH,1,0,12.5,-12.5,0.0,-100.0
FieldSize,Armidale,1980,Mobile,PACERS,8,LEAD,1,1,10.0,90.0,100.0,900.0
FieldSize,Armidale,2360,Mobile,PACERS,10,B/LEAD,2,0,18.84,-18.84,0.0,-100.0
FieldSize,Armidale,2360,Mobile,PACERS,7,B/LEAD,1,1,4.76,95.24,100.0,2000.8
FieldSize,Armidale,2360,Mobile,PACERS,8,B/LEAD,1,0,7.69,-7.69,0.0,-100.0
FieldSize,Armidale,2360,Mobile,PACERS,10,DEATH,2,0,32.69,-32.69,0.0,-100.0
FieldSize,Armidale,2360,Mobile,PACERS,7,DEATH,1,0,10.0,-10.0,0.0,-100.0
FieldSize,Armidale,2360,Mobile,PACERS,8,DEATH,1,0,20.83,-20.83,0.0,-100.0
FieldSize,Armidale,2360,Mobile,PACERS,10,LEAD,2,0,39.01,-39.01,0.0,-100.0
FieldSize,Armidale,2360,Mobile,PACERS,7,LEAD,1,0,30.3,-30.3,0.0,-100.0
FieldSize,Armidale,2360,Mobile,PACERS,8,LEAD,1,1,71.43,28.57,100.0,40.0
FieldSize,Ballarat,1200,Mobile,PACERS,6,B/LEAD,1,0,3.19,-3.19,0.0,-100.0
FieldSize,Ballarat,1200,Mobile,PACERS,6,DEATH,1,0,13.89,-13.89,0.0,-100.0
FieldSize,Ballarat,1200,Mobile,PACERS,6,LEAD,1,0,76.92,-76.92,0.0,-100.0
FieldSize,Ballarat,1710,Mobile,PACERS,10,B/LEAD,146,11,1794.23,-694.23,7.5,-38.7
FieldSize,Ballarat,1710,Mobile,PACERS,11,B/LEAD,8,1,133.76,-33.76,12.5,-25.2
FieldSize,Ballarat,1710,Mobile,PACERS,12,B/LEAD,11,1,112.44,-12.44,9.1,-11.1
FieldSize,Ballarat,1710,Mobile,PACERS,5,B/LEAD,8,0,71.86,-71.86,0.0,-100.0
FieldSize,Ballarat,1710,Mobile,PACERS,6,B/LEAD,29,1,553.5,-453.5,3.4,-81.9
FieldSize,Ballarat,1710,Mobile,PACERS,7,B/LEAD,69,6,917.17,-317.17,8.7,-34.6
FieldSize,Ballarat,1710,Mobile,PACERS,8,B/LEAD,67,5,967.72,-467.72,7.5,-48.3
FieldSize,Ballarat,1710,Mobile,PACERS,9,B/LEAD,96,10,924.37,75.63,10.4,8.2
FieldSize,Ballarat,1710,Mobile,PACERS,10,DEATH,149,18,2407.01,-607.01,12.1,-25.2
FieldSize,Ballarat,1710,Mobile,PACERS,11,DEATH,8,0,169.37,-169.37,0.0,-100.0
FieldSize,Ballarat,1710,Mobile,PACERS,12,DEATH,11,0,176.87,-176.87,0.0,-100.0
FieldSize,Ballarat,1710,Mobile,PACERS,5,DEATH,5,0,72.21,-72.21,0.0,-100.0
FieldSize,Ballarat,1710,Mobile,PACERS,6,DEATH,25,4,616.71,-216.71,16.0,-35.1
FieldSize,Ballarat,1710,Mobile,PACERS,7,DEATH,67,11,1663.39,-563.39,16.4,-33.9
FieldSize,Ballarat,1710,Mobile,PACERS,8,DEATH,67,7,1423.6,-723.6,10.4,-50.8
FieldSize,Ballarat,1710,Mobile,PACERS,9,DEATH,95,13,1672.86,-372.86,13.7,-22.3
FieldSize,Ballarat,1710,Mobile,PACERS,10,LEAD,147,48,3575.16,1224.84,32.7,34.3
FieldSize,Ballarat,1710,Mobile,PACERS,11,LEAD,8,3,131.52,168.48,37.5,128.1
FieldSize,Ballarat,1710,Mobile,PACERS,12,LEAD,10,4,208.58,191.42,40.0,91.8
FieldSize,Ballarat,1710,Mobile,PACERS,5,LEAD,8,7,331.73,368.27,87.5,111.0
FieldSize,Ballarat,1710,Mobile,PACERS,6,LEAD,29,16,1128.68,471.32,55.2,41.8
FieldSize,Ballarat,1710,Mobile,PACERS,7,LEAD,68,29,2506.88,393.12,42.6,15.7
FieldSize,Ballarat,1710,Mobile,PACERS,8,LEAD,67,34,2163.47,1236.53,50.7,57.2
FieldSize,Ballarat,1710,Mobile,PACERS,9,LEAD,93,32,2603.49,596.51,34.4,22.9
FieldSize,Ballarat,1710,Mobile,TROTTERS,10,B/LEAD,31,1,272.89,-172.89,3.2,-63.4
FieldSize,Ballarat,1710,Mobile,TROTTERS,11,B/LEAD,6,0,46.11,-46.11,0.0,-100.0
FieldSize,Ballarat,1710,Mobile,TROTTERS,12,B/LEAD,5,0,40.87,-40.87,0.0,-100.0
FieldSize,Ballarat,1710,Mobile,TROTTERS,5,B/LEAD,1,0,1.41,-1.41,0.0,-100.0
FieldSize,Ballarat,1710,Mobile,TROTTERS,6,B/LEAD,3,0,27.94,-27.94,0.0,-100.0
FieldSize,Ballarat,1710,Mobile,TROTTERS,7,B/LEAD,6,0,56.81,-56.81,0.0,-100.0
FieldSize,Ballarat,1710,Mobile,TROTTERS,8,B/LEAD,16,1,153.12,-53.12,6.2,-34.7
FieldSize,Ballarat,1710,Mobile,TROTTERS,9,B/LEAD,22,3,247.03,52.97,13.6,21.4
FieldSize,Ballarat,1710,Mobile,TROTTERS,10,DEATH,34,3,502.25,-202.25,8.8,-40.3
FieldSize,Ballarat,1710,Mobile,TROTTERS,11,DEATH,6,1,65.85,34.15,16.7,51.9
FieldSize,Ballarat,1710,Mobile,TROTTERS,12,DEATH,5,1,33.19,66.81,20.0,201.3
FieldSize,Ballarat,1710,Mobile,TROTTERS,5,DEATH,1,0,60.61,-60.61,0.0,-100.0
FieldSize,Ballarat,1710,Mobile,TROTTERS,6,DEATH,1,0,20.83,-20.83,0.0,-100.0
FieldSize,Ballarat,1710,Mobile,TROTTERS,7,DEATH,6,0,52.48,-52.48,0.0,-100.0
FieldSize,Ballarat,1710,Mobile,TROTTERS,8,DEATH,15,3,245.15,54.85,20.0,22.4
