Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Jack Callaghan,100,11,16,12,1712.6699999999998,-612.67,-35.7727991965761
Peter McRae,100,11,15,10,1339.02,-239.02000000000004,-17.850368179713524
Shane Graham,100,11,14,15,1591.3399999999997,-491.34,-30.875865622682774
Kylah Madden,100,11,14,14,1649.7099999999998,-549.71,-33.321614101872456
Lauren Harper,100,11,14,13,1061.4099999999999,38.590000000000096,3.6357298310737693
Chris Svanosio,100,11,14,11,1607.3300000000002,-507.3299999999999,-31.563524602912896
Dylan Egerton-Green,100,11,14,11,1582.4099999999996,-482.4099999999999,-30.4857780221308
Lochie Cook,100,11,14,11,1209.4199999999998,-109.41999999999994,-9.047311934646356
Blake Hughes,100,11,13,13,1700.34,-600.34,-35.307056235811665
Shannon Suvaljko,100,11,12,21,1103.77,-3.7700000000001115,-0.3415566648849046
Molly Ison,100,11,12,9,1073.9800000000002,26.019999999999985,2.4227639248403117
Trent Wheeler,100,11,11,10,964.9699999999998,135.03000000000011,13.99318113516484
Adam Richardson,100,11,11,9,1112.9599999999998,-12.960000000000008,-1.1644623346751015
Stephanie Morris,100,11,11,9,966.4800000000002,133.52,13.815081532985676
Matt Elkins,100,11,10,17,1487.6499999999999,-387.65,-26.05787651665378
John Justice,100,11,9,10,1031.86,68.14000000000009,6.603609016727084
Chris Alford,100,11,8,9,1369.53,-269.5299999999999,-19.68047432330799
Jordan Topping,100,11,8,9,1147.3199999999997,-47.31999999999993,-4.1243942404908776
David Smith,100,11,7,10,964.0499999999998,135.95000000000002,14.101965665681245
Kevin Weidenbach,100,10,20,5,1297.7199999999998,-297.71999999999997,-22.94177480504269
Gary Bond,100,10,17,12,1363.8199999999997,-363.82,-26.67654089249315
Corey Johnson,100,10,17,9,1326.1700000000003,-326.16999999999996,-24.59488602517022
Ashleigh Delosa,100,10,16,17,1564.49,-564.4899999999999,-36.081406720400885
Trent Dawson,100,10,16,13,1595.9499999999996,-595.9499999999998,-37.34139540712428
Malcom Jones,100,10,15,11,1057.8200000000002,-57.820000000000014,-5.465958291580799
Tom Gilligan,100,10,15,11,1449.97,-449.9699999999999,-31.03305585632806
Chloe Butler,100,10,14,12,1272.26,-272.2599999999999,-21.39971389495857
Ryan Warwick,100,10,13,7,932.8600000000001,67.14000000000003,7.197221448020069
Chris Lang,100,10,12,20,1896.6299999999999,-896.6299999999999,-47.274903381260444
Annalise Scott,96,10,12,15,1367.5900000000001,-367.59000000000003,-26.878669776760578
Mark Callaghan,100,10,11,20,1121.7,-121.69999999999993,-10.849603280734593
Lisa Ryan,100,10,11,14,1104.4299999999998,-104.42999999999998,-9.455556259790116
Liam Older,100,10,10,17,1152.19,-152.18999999999997,-13.208758972044537
Adrian Pace,100,10,10,9,1221.63,-221.63000000000008,-18.142154334782223
Ellen Tormey,100,10,10,7,1128.67,-128.66999999999996,-11.400143531767474
Dean Girardi,100,10,9,11,793.88,206.12000000000006,25.9636217060513
Blake Medlyn,100,10,9,10,868.48,131.52000000000004,15.143699336772295
Andrew Millard,100,10,8,20,1284.66,-284.65999999999997,-22.15839210374729
Chantal Turpin,100,10,8,10,1113.1699999999998,-113.1699999999999,-10.166461546753858
Glen Craven,100,10,7,13,1400.0500000000002,-400.05,-28.573979500732115
Declan Murphy,100,10,6,16,1049.4,-49.399999999999906,-4.707451877263188
Mark Phillips,64,10,4,11,1026.8400000000001,-26.83999999999999,-2.6138444158778373
Steven Matson,98,10,2,6,615.2999999999998,384.70000000000005,62.52234682268815
David McKenzie,100,9,17,17,1104.9999999999998,-205.0,-18.552036199095028
Narissa Elkins,100,9,17,15,1342.24,-442.23999999999995,-32.94790797472881
Jason Hewitt,100,9,15,9,1449.75,-549.7499999999999,-37.920331091567505
Zara Fitzpatrick,100,9,15,9,1530.62,-630.62,-41.20029791849055
Tayla French,100,9,15,6,1084.66,-184.65999999999994,-17.0246897645345
Gaita Pullicino,100,9,14,12,1393.51,-493.51,-35.41488758602378
Jocelyn Young,100,9,14,12,1297.1199999999997,-397.11999999999995,-30.61551745405206
Nathan Hurst,100,9,13,19,1059.26,-159.25999999999993,-15.035024451031848
Scott Ewen,100,9,13,11,1288.54,-388.5399999999999,-30.15350707001722
Harrison Ross,100,9,13,10,1235.3799999999999,-335.38,-27.147922096844695
Jodi Quinlan,100,9,13,8,1025.81,-125.80999999999999,-12.26445443113247
Corey Peterson,100,9,12,20,1299.53,-399.5299999999999,-30.744192131001203
Callan Suvaljko,100,9,12,18,934.2099999999999,-34.20999999999994,-3.661917556009884
Paige Bevan,100,9,12,18,1326.3000000000002,-426.2999999999999,-32.14204931011082
Tom Callaghan,100,9,12,14,1428.2600000000002,-528.2599999999999,-36.986263005335154
Rebecca Bartley,100,9,11,16,1311.5199999999998,-411.52000000000004,-31.377333170672205
Ajay Markham,100,9,11,14,1295.0099999999998,-395.01000000000005,-30.50246716241574
Robert Morris,100,9,11,13,1445.9599999999998,-545.96,-37.757614318515046
James Locke,100,9,11,11,1179.79,-279.78999999999996,-23.715237457513624
Darby McGuigan,100,9,11,10,1220.69,-320.69,-26.271207268020547
Stuart McDonald,100,9,11,10,1082.61,-182.60999999999996,-16.867570039072238
Jake Davis,100,9,10,19,1150.09,-250.0900000000001,-21.7452547191959
Taylah Osmond,100,9,10,13,1330.33,-430.33,-32.34761299827863
Jacob Duggan,100,9,10,10,938.9200000000001,-38.91999999999998,-4.145188088442038
Luke Dunne,100,9,9,15,1471.98,-571.98,-38.857864916642896
Madeliene Young,100,9,8,15,1055.82,-155.81999999999996,-14.758197420014774
Anthony Butt,100,9,8,9,1007.98,-107.97999999999993,-10.712514137185254
Emma Ison,100,9,8,6,744.7600000000001,155.24000000000007,20.84429883452388
Samantha Hill,100,9,7,14,1044.1899999999998,-144.18999999999997,-13.80878958810178
Dannielle McMullen,100,9,7,12,1069.23,-169.22999999999996,-15.827277573580984
Grant Campbell,74,9,7,8,873.6500000000001,26.349999999999955,3.0160819550163054
Hannah Rixon,100,9,6,23,1138.4500000000003,-238.45,-20.945144714304533
George Lee,100,9,6,17,1093.2099999999998,-193.20999999999987,-17.673640014269893
Jason Ainsworth,100,9,6,9,862.7099999999999,37.29,4.3224258441422965
Brent Thomson,58,9,6,4,713.87,186.13000000000005,26.07337470407778
Shane Young,100,9,4,13,1089.1499999999999,-189.15000000000003,-17.366753890648674
Jack Stockton,44,9,4,5,591.8199999999999,308.18,52.073265519921605
Ros Rolfe,58,9,1,3,423.2899999999999,476.7100000000001,112.62018946821333
Rohan Hillier,100,8,20,13,1601.32,-901.32,-56.28606399720232
Donna Castles,100,8,19,8,1180.34,-380.34,-32.22291882000102
Michael Formosa,100,8,18,15,1170.9,-370.8999999999999,-31.676488171492007
Neil Day,80,8,17,10,1289.9299999999998,-489.92999999999995,-37.98113075903344
Damon Watson,100,8,17,4,1146.82,-346.82,-30.241886259395546
Charlie Castles,100,8,16,14,1260.89,-460.89,-36.55275242090904
Connor Ronan,100,8,15,8,933.6899999999999,-133.68999999999988,-14.318456875408314
Mitch Ford,100,8,13,7,1023.9399999999999,-223.93999999999994,-21.870422095044628
Blake Fitzpatrick,100,8,12,15,1471.39,-671.3899999999999,-45.629642718789704
Travis Bullock,100,8,12,14,1145.9599999999998,-345.96000000000004,-30.18953541135817
Emma Turnbull,100,8,12,8,877.4799999999999,-77.47999999999996,-8.829830879336278
Will Rothwell,62,8,12,5,846.94,-46.93999999999996,-5.542305240040612
Taleah McMullen,100,8,10,15,992.69,-192.68999999999997,-19.41089363245323
Alanah Richardson,100,8,10,14,1064.5900000000001,-264.59000000000003,-24.853699546304213
Nathan Turvey,100,8,10,14,1154.74,-354.74,-30.720335313577085
Ryan Bell,68,8,10,13,1027.4199999999998,-227.42000000000002,-22.135056744077403
Brian Portelli,100,8,10,12,1173.45,-373.44999999999993,-31.824960586305334
David Drury,100,8,10,10,1283.4199999999998,-483.42,-37.66654719421546
Tim Stone,100,8,10,8,688.3299999999998,111.67000000000006,16.22332311536619
Grace Panella,100,8,9,24,1061.5699999999997,-261.57,-24.63992011831533
Amy Diebert,100,8,9,9,1020.58,-220.57999999999996,-21.613200337063233
Brodie Davis,100,8,9,9,852.3500000000001,-52.35000000000004,-6.14184313955535
John O'Shea,100,8,9,9,1502.9200000000003,-702.92,-46.770287174300684
Lachlan Kennelly,100,8,9,8,987.13,-187.13000000000005,-18.956976284785192
Jonah Hutchinson,100,8,8,10,1118.32,-318.31999999999994,-28.464124758566417
Chris Lewis,100,8,8,8,907.07,-107.06999999999998,-11.803940158973395
Blake Pace,100,8,8,7,1233.79,-433.79,-35.15914377649357
Jack Chapple,100,8,7,12,1041.4400000000003,-241.43999999999997,-23.183284682746958
Kerryn Manning,100,8,7,12,1157.6699999999998,-357.66999999999996,-30.89567838848722
Tony Pullicino,100,8,7,10,596.12,203.88000000000005,34.2011675501577
Luke Watson,100,8,7,9,756.8999999999999,43.10000000000003,5.694279297133047
Rohan Hadley,100,8,7,4,883.99,-83.98999999999997,-9.501238701795266
Glenn Bull,100,8,6,17,848.9900000000001,-48.989999999999945,-5.770385988056389
Harry O'Neill,100,8,6,11,1038.74,-238.74000000000007,-22.983614764041054
Gary Whitaker,100,8,6,10,826.6099999999998,-26.609999999999935,-3.219172281970935
Brent Murphy,100,8,5,13,753.95,46.050000000000054,6.107832084355733
Sean O'Sullivan,100,8,5,10,990.0199999999999,-190.01999999999995,-19.1935516454213
Robbie Williams,55,8,5,8,841.6099999999999,-41.60999999999998,-4.944095246016562
Dale Afford,98,8,4,10,960.0999999999999,-160.1,-16.675346318091865
Jake Bates,83,8,4,5,447.46000000000004,352.53999999999996,78.78693067536761
Paul Cavallaro,37,8,4,4,576.63,223.37000000000003,38.73714513639596
Reagan Clarke,48,8,3,2,537.06,262.94,48.95914795367371
Michael A Smith,100,7,16,18,983.8599999999999,-283.85999999999996,-28.851665887423007
Grant Dixon,100,7,16,17,1663.95,-963.9499999999999,-57.93142822801165
Anthony Robinson,82,7,15,19,1331.03,-631.0300000000001,-47.40914930542513
Toby Lynn,100,7,14,4,746.1099999999999,-46.109999999999985,-6.18005387945477
Jake Bigeni,100,7,13,11,926.22,-226.2199999999999,-24.424002936667303
Ewa Justice,100,7,12,16,1300.62,-600.6199999999999,-46.179514385446936
Juanita Breen,100,7,12,8,1312.84,-612.84,-46.68047896164042
Andrew Bourke,100,7,11,14,959.39,-259.39,-27.036971408916084
Matthew Craven,100,7,11,12,1333.97,-633.97,-47.525056785384976
Chloe Formosa,100,7,11,10,1333.04,-633.0400000000002,-47.488447458440874
Michael Bellman,100,7,10,11,1136.77,-436.77000000000004,-38.42202028554589
Trista Dixon,100,7,9,13,833.3500000000001,-133.35,-16.00167996640067
Rickie Alchin,100,7,9,10,1468.54,-768.5399999999998,-52.33361025235948
Brent Howard,88,7,9,8,596.78,103.22000000000003,17.296156037400724
Emmett Brosnan,100,7,9,7,999.8199999999999,-299.81999999999994,-29.98739773159168
Mark Hayes,100,7,9,7,863.43,-163.43,-18.927996479158708
Monique Burnett,100,7,8,13,968.5400000000001,-268.53999999999996,-27.7262684039895
Connor Clarke,100,7,8,12,1018.28,-318.28,-31.25662882507758
Kylie Sugars,78,7,8,12,1056.9299999999998,-356.93,-33.770448374064514
Trent Moffat,100,7,8,6,883.4999999999999,-183.4999999999999,-20.7696661007357
Bronte Miller,100,7,8,5,747.05,-47.04999999999998,-6.298105883140351
Bryse McElhinney,100,7,7,14,1034.0400000000002,-334.04,-32.304359599241806
Mick Sullivan,100,7,7,14,648.0500000000001,51.95000000000004,8.016356762595484
Aaron Suvaljko,100,7,7,12,751.15,-51.15,-6.809558676695733
Melissa Hawke,100,7,7,11,749.0699999999999,-49.069999999999936,-6.550789645827485
Daryl Douglas,100,7,7,10,1188.9199999999998,-488.91999999999996,-41.12303603270195
Sebastian Piltz,100,7,7,9,617.8199999999998,82.17999999999999,13.30160888284614
Ashley Ainsworth,100,7,7,5,638.06,61.94000000000002,9.707551014011226
Ricky Duggan,100,7,6,12,716.58,-16.580000000000016,-2.3137681766167093
Brett Smith,71,7,6,8,581.94,118.06,20.287314843454652
Tristan Larsen,100,7,6,8,824.95,-124.94999999999992,-15.146372507424683
Ben Battle,100,7,6,7,646.5099999999999,53.49000000000014,8.273653926466745
Ian McMahon,85,7,6,5,499.31999999999994,200.67999999999998,40.19065929664344
Peter Greig,100,7,4,10,613.2300000000001,86.76999999999998,14.149666519902803
Clint Sneddon,100,7,4,9,486.27,213.73000000000008,43.95294795072698
Conor Crook,100,7,4,9,1588.1399999999999,-888.1399999999999,-55.923281322805295
Ashley Manton,79,7,4,7,479.61999999999995,220.38000000000005,45.94887619365333
Michelle Wight,45,7,4,7,422.8500000000001,277.15,65.54333688069053
Nicholas O'Connor,71,7,3,7,662.0999999999999,37.90000000000005,5.724210844283349
Briana Edman,77,7,2,5,437.7100000000001,262.28999999999996,59.92323684631374
Dan Morgan,100,7,0,20,576.3000000000001,123.7000000000001,21.464515009543657
Dean Chapple,100,6,15,18,989.4900000000001,-389.48999999999995,-39.36270199799896
Dayl March,100,6,14,13,874.3799999999999,-274.38000000000005,-31.379949221162434
Mark Hewitt,100,6,14,11,829.22,-229.2199999999999,-27.642845083331313
Nathan Rothwell,100,6,12,15,1100.3199999999997,-500.31999999999994,-45.47040860840483
Cody Wallrodt,100,6,12,10,1037.8000000000002,-437.80000000000007,-42.185392175756405
Ryan Backhouse,100,6,11,8,1148.38,-548.38,-47.75248611086922
Anne-Maree Conroy,100,6,10,15,1029.33,-429.33000000000004,-41.70965579551748
Codi Rauchenberger,100,6,10,14,1223.83,-623.8299999999999,-50.97358293227
Ross Payne,100,6,10,13,1040.13,-440.13,-42.3149029448242
Kathy Watson,100,6,10,11,599.69,0.3100000000000396,0.05169337491037695
Jason Kittel,100,6,10,10,1016.2399999999999,-416.24,-40.95882862315989
Tiarna Ford,100,6,10,6,875.77,-275.7699999999999,-31.488861230688414
Mitch Turnbull,100,6,9,15,1072.72,-472.7199999999999,-44.0674174062197
Ashleigh Markham,100,6,9,10,811.5900000000001,-211.58999999999995,-26.071045725058205
Doug Hewitt,100,6,9,10,994.9999999999999,-394.9999999999999,-39.69849246231155
Zac Chappenden,100,6,9,10,840.94,-240.93999999999994,-28.651271196518174
Dean Cernovskis,89,6,9,8,904.12,-304.12,-33.63712781489183
Matt Crone,100,6,9,7,748.5499999999998,-148.54999999999993,-19.84503373188163
Ky Bloomfield,100,6,8,16,807.89,-207.89,-25.732463577962346
Brian Gath,100,6,8,8,656.4,-56.39999999999996,-8.592321755027417
Hannah Anforth,100,6,7,17,1034.77,-434.77,-42.01610019617886
Tamara Battle,56,6,7,10,735.26,-135.26,-18.39621358431031
Leon Hancock,61,6,6,13,611.4300000000001,-11.429999999999994,-1.8693881556351493
Keali Hepworth,66,6,6,9,650.72,-50.720000000000034,-7.794443078436199
Michael Munro,56,6,6,9,488.40999999999997,111.59,22.847607542843104
Mitch Cox,85,6,6,9,756.45,-156.45,-20.682133650604793
Darren Pace,70,6,5,8,725.93,-125.92999999999991,-17.347402642128017
Glen Judd,72,6,5,8,523.29,76.71000000000006,14.659175600527446
Hannah Parish,52,6,4,6,669.7800000000002,-69.77999999999997,-10.41834632267311
James Sutton,71,6,4,6,731.57,-131.57,-17.98460844485148
Ricky Gordon,100,6,3,13,520.4699999999999,79.53000000000006,15.280419620727434
Darren McCall,100,6,2,9,682.2800000000001,-82.27999999999994,-12.059564987981464
Lisa Miles,100,5,15,13,1031.33,-531.3300000000002,-51.518912472244594
Vaughan Duncan,100,5,15,13,1003.76,-503.76,-50.187295767912644
Julie Weidemann,100,5,14,13,651.71,-151.70999999999995,-23.278758957204886
Matthew Gath,90,5,13,19,905.3,-405.29999999999995,-44.769689605655586
Taylor Ford,100,5,13,7,774.42,-274.41999999999996,-35.435551767774584
Kyle Harper,100,5,12,12,880.86,-380.86,-43.23729082941671
Matt Newberry,98,5,11,4,720.53,-220.52999999999997,-30.60663678125824
Anthony Varga,100,5,10,17,869.8299999999999,-369.83,-42.51750342020855
Donald Harper,100,5,10,11,756.21,-256.21000000000004,-33.88080030679309
Gary Pekin,100,5,10,11,759.86,-259.86,-34.19840496933646
John Newberry,99,5,10,7,829.4099999999999,-329.40999999999997,-39.71618379329885
Aaron Garaty,60,5,10,5,489.84999999999997,10.149999999999979,2.0720628763907274
