Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Chris Svanosio,11,1,2,0,131.88,-31.880000000000003,-24.173491052471945
Grace Jones,11,1,0,3,98.46000000000001,1.5399999999999991,1.5640869388584187
David Stewart,10,1,0,0,67.85,32.150000000000006,47.38393515106855
Gary Whitaker,10,1,0,0,81.7,18.299999999999997,22.399020807833534
Jason Hewitt,10,1,2,2,186.39,-86.38999999999999,-46.349053060786524
Shane Hallcroft,10,1,1,0,53.57,46.43000000000001,86.67164457718873
Lachlan Kennelly,41,2,4,7,431.65999999999997,-231.66,-53.66723810406339
Blake Micallef,38,2,3,7,457.03000000000003,-257.03000000000003,-56.239196551648696
Gareth Rattray,38,2,3,3,209.42999999999998,-9.429999999999996,-4.502697798787183
Blake Fitzpatrick,35,2,7,5,260.29999999999995,-60.29999999999998,-23.1655781790242
Jordan Leedham,34,2,0,4,319.92999999999995,-119.93,-37.48632513362299
Jason Kittel,28,2,2,3,231.62,-31.61999999999999,-13.651670840169238
Kate Gath,26,2,6,2,462.50000000000006,-262.5,-56.75675675675676
Tristan Larsen,26,2,1,3,216.64000000000001,-16.64000000000003,-7.680945347119658
Lleyton Green,24,2,2,2,331.57,-131.57,-39.68091202461019
Alanah Richardson,23,2,5,1,354.50000000000006,-154.5,-43.58251057827926
Todd Rattray,22,2,7,2,403.39,-203.39,-50.4201888990803
Daryl Douglas,21,2,1,3,177.86999999999998,22.130000000000024,12.44167088322934
Kaden Elliott,21,2,2,2,138.29999999999998,61.699999999999996,44.61315979754158
Neil McCallum,21,2,2,1,154.29999999999998,45.70000000000001,29.61762799740766
Bernie Hewitt,19,2,4,0,333.05999999999995,-133.05999999999997,-39.95075962289077
Reagan Clarke,18,2,1,3,176.69,23.310000000000002,13.19259720414285
Abbey Turnbull,17,2,3,3,328.71,-128.70999999999998,-39.156095038179544
Hannah Anforth,17,2,2,1,285.6,-85.6,-29.9719887955182
Joseph Suvaljko,17,2,2,1,183.10999999999999,16.89,9.223963737644041
Ethan Arnott,16,2,3,0,321.31,-121.31,-37.75481622109489
Rickie Alchin,16,2,0,5,277.79,-77.79,-28.00316786061413
Luke McCarthy,15,2,3,2,285.96999999999997,-85.96999999999997,-30.062593978389334
Anthony Robinson,14,2,3,0,255.03999999999996,-55.03999999999999,-21.580928481806776
Robbie Williams,14,2,1,2,274.38,-74.38000000000001,-27.108389824331226
Darren Billinger,13,2,2,1,213.79999999999998,-13.800000000000004,-6.454630495790462
Gavin Fitzpatrick,13,2,3,2,283.19000000000005,-83.18999999999998,-29.3760372894523
Jocelyn Young,13,2,1,1,270.50000000000006,-70.5,-26.06284658040665
Codi Rauchenberger,12,2,1,2,78.60000000000001,121.40000000000002,154.4529262086514
Isobel Ross,11,2,1,1,319.08,-119.07999999999998,-37.31979440892566
Paul Williams,11,2,0,1,57.43,142.57000000000002,248.25004353125547
Angela Chapman,10,2,3,0,179.35,20.65000000000001,11.513799832729307
Cameron Fitzpatrick,10,2,1,2,226.04999999999998,-26.050000000000004,-11.523999115239993
Charlie Castles,10,2,2,1,322.36999999999995,-122.37,-37.95948754536713
Damian Wilson,10,2,0,1,172.3,27.700000000000003,16.07661056297156
Josh Duggan,56,3,7,4,600.26,-300.26,-50.02165728184453
Brad Elder,51,3,4,8,600.2400000000001,-300.24,-50.01999200319871
Harrison Ross,50,3,7,7,637.24,-337.24,-52.92197602159312
Nathan Rothwell,44,3,4,6,379.74,-79.74000000000001,-20.99857797440354
Chris Geary,43,3,0,4,243.31,56.690000000000026,23.299494472072674
John Caldow,42,3,5,4,373.78,-73.78,-19.738883835411205
Tom Nally,41,3,5,2,306.2,-6.199999999999969,-2.0248203788373513
Jackson Painting,40,3,2,9,649.23,-349.23,-53.79141444480384
Michael A Smith,38,3,4,4,473.59999999999997,-173.6,-36.6554054054054
James Locke,37,3,5,5,586.55,-286.55,-48.853465177734215
Nathan Hurst,36,3,3,4,309.64,-9.640000000000002,-3.1132928562201276
Jemma Coney,35,3,2,3,266.94,33.06,12.384805574286357
Phoebe Betts,33,3,8,5,559.1800000000001,-259.18,-46.35001251833041
George Lee,32,3,7,3,298.63,1.3700000000000045,0.4587616783310466
Peter McRae,32,3,2,3,372.47,-72.47,-19.456600531586435
Amy Diebert,30,3,2,3,230.89,69.11000000000003,29.93200225215472
Aaron Suvaljko,27,3,1,1,222.7,77.3,34.7103726986978
Hannah Van dongen,26,3,1,3,173.36999999999998,126.63000000000002,73.04031839418586
Jordan Chibnall,24,3,1,7,562.38,-262.38,-46.65528646111171
Bernadette Page,23,3,3,1,232.99999999999997,67.00000000000001,28.75536480686696
Aaron Dunn,19,3,3,1,415.56,-115.56,-27.808258735200692
Jason Lee,19,3,5,5,602.37,-302.37,-50.19672294436974
Matthew Craven,18,3,3,1,246.95000000000002,53.05000000000004,21.482081392994548
Michael Formosa,18,3,1,3,222.95,77.05000000000001,34.559318232787625
Roger Strong,18,3,0,2,92.22,207.78,225.30904359141184
John Walters,17,3,3,2,183.14999999999998,116.85,63.8001638001638
Michael Jnr Day,16,3,0,3,219.45999999999998,80.54,36.69917069169781
Adrian Pace,15,3,1,4,253.38,46.62,18.39924224484963
Andrew Bourke,15,3,6,0,221.60999999999996,78.38999999999999,35.37295248409368
Glen Craven,14,3,0,2,327.65999999999997,-27.659999999999997,-8.441677348470975
Laura Wilson,14,3,2,4,334.4599999999999,-34.46000000000001,-10.303175267595533
Allan McDonough,12,3,6,1,282.96,17.040000000000013,6.022052586938089
Graham Dwyer,11,3,2,0,90.96000000000001,209.04000000000002,229.81530343007915
Ellen Tormey,65,4,8,8,832.6099999999999,-432.60999999999996,-51.958299804230066
Jonah Hutchinson,64,4,0,7,484.87999999999994,-84.88,-17.505362151460158
Chris Voak,61,4,9,12,793.53,-393.53,-49.59232795231434
Kerryn Manning,49,4,9,7,767.4300000000001,-367.43,-47.877982356697025
Taylah Osmond,49,4,11,3,599.35,-199.35,-33.26103278551764
Seaton Grima,41,4,3,2,689.42,-289.41999999999996,-41.980215253401404
Leigh Sutton,40,4,2,7,376.14,23.86000000000007,6.343382783006346
Tom Ison,39,4,5,7,717.7400000000001,-317.74,-44.269512636888
Cooper Griffiths,36,4,1,5,311.0,89.0,28.617363344051448
Justin Reynolds,36,4,3,2,315.77,84.23,26.674478259492673
Paige Bevan,34,4,4,2,570.86,-170.85999999999996,-29.93028062922607
Kyle Harper,31,4,4,1,261.59,138.41000000000003,52.91104400015293
Taylor Youl,31,4,4,5,433.6699999999999,-33.67,-7.7639679940968955
Olivia Frisby,30,4,4,5,473.16999999999996,-73.17000000000002,-15.463786799670313
Ryan Hryhorec,30,4,7,5,874.1199999999999,-474.1200000000001,-54.23969249073356
Dylan Ford,25,4,1,5,441.28,-41.27999999999997,-9.354604786076862
Travis Bullock,24,4,2,2,346.27,53.730000000000004,15.516793253819275
Maddison Brown,22,4,2,2,391.88,8.120000000000008,2.0720628763907336
Corey Peterson,21,4,3,3,390.85,9.150000000000016,2.3410515543047246
Grace Panella,21,4,3,1,270.61,129.39,47.81419755367502
Rohan Hillier,19,4,5,1,678.5200000000001,-278.52000000000004,-41.04816365029771
Hannah Lewis,18,4,2,2,301.25000000000006,98.75,32.780082987551864
Lindsay Harper,18,4,4,2,238.35999999999999,161.64,67.81339150864238
Scott Hewitt,17,4,1,2,235.6,164.40000000000003,69.77928692699493
Jason Grimson,15,4,2,2,392.66999999999996,7.330000000000005,1.8667074133496335
Anthony Frisby,11,4,0,2,212.96,187.04,87.82870022539443
