Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Donald Harper,100,6,8,9,632.8399999999999,-32.839999999999996,-5.189305353643891
Leilani Justice,100,6,8,12,1147.63,-547.63,-47.71834127724092
Leonard Cain,100,6,8,14,1023.61,-423.60999999999996,-41.38392551850802
Josh Duggan,100,6,10,9,1213.4299999999998,-613.43,-50.553389977172145
Corey Bell,100,6,11,5,900.6999999999999,-300.7,-33.38514488730987
Jake Davis,100,6,11,14,1004.3299999999999,-404.33,-40.25867991596388
Jack Stockton,100,6,12,11,1290.9699999999998,-690.97,-53.52331967435341
Anne-Maree Conroy,100,6,12,21,1021.55,-421.54999999999995,-41.2657236552298
Vaughan Duncan,100,6,16,13,1477.9,-877.9,-59.401853982001484
Grace Panella,100,6,16,14,1279.0,-678.9999999999999,-53.08835027365129
Tom Pay,100,7,6,9,807.57,-107.56999999999994,-13.320207536188805
Matthew Atkinson,100,7,7,11,1029.12,-329.12,-31.980721393034827
Brendan Barnes,100,7,8,11,1295.61,-595.61,-45.971395713216175
David Smith,100,7,8,11,932.45,-232.44999999999996,-24.928950613973935
Lleyton Green,100,7,8,14,1318.28,-618.28,-46.900506720878724
Layne Dwyer,100,7,10,11,1343.7,-643.6999999999998,-47.905038327007496
Aaron Suvaljko,100,7,11,9,1251.24,-551.24,-44.05549694702855
Nathan Turnbull,100,7,13,11,967.42,-267.4199999999999,-27.642595770192873
Ellen Tormey,100,7,14,17,1328.72,-628.7200000000001,-47.317719308808485
Mark Hewitt,100,7,15,9,915.53,-215.52999999999997,-23.541555164767946
Jack Callaghan,100,7,15,12,1387.2,-687.1999999999999,-49.53863898500576
Garry Johnson,100,7,17,11,1044.9600000000003,-344.96,-33.01178992497319
Lochie Cook,100,7,17,13,1338.8,-638.8,-47.71437107857783
Luke Sutherland,100,7,18,5,1114.77,-414.77000000000004,-37.20677807978328
Klayton Bigeni,100,8,4,5,945.92,-145.91999999999996,-15.426251691474963
Shane Hallcroft,100,8,4,8,678.02,121.98000000000003,17.990619745730218
Jayson Finnis,100,8,4,14,846.29,-46.28999999999994,-5.469756230133871
Glenn Bull,100,8,4,17,877.93,-77.92999999999994,-8.876561912680959
Isobel Ross,100,8,5,6,1333.6200000000001,-533.6200000000001,-40.012897227096175
Abbey Vidovich,100,8,7,12,1345.6899999999998,-545.69,-40.550944125318615
Justin Reynolds,100,8,8,6,1077.6799999999998,-277.67999999999995,-25.766461287209562
Michael Towers,100,8,8,12,876.91,-76.90999999999997,-8.77056938568382
Bernadette Page,100,8,9,12,1060.24,-260.24,-24.545385950350866
Andrew Bourke,100,8,10,7,918.9700000000001,-118.97000000000001,-12.946015647953688
Daryl Douglas,100,8,10,9,671.71,128.29000000000005,19.099015944380763
Mitch Cox,100,8,10,12,1157.59,-357.59,-30.89090265119775
Corey Peterson,100,8,11,13,1264.4899999999998,-464.49,-36.73338658273297
Peter McRae,100,8,11,18,1696.57,-896.5699999999999,-52.84603641464838
Lachlan Kennelly,100,8,12,16,1276.7399999999998,-476.73999999999995,-37.340413866566415
Chloe Butler,100,8,13,9,1341.12,-541.1199999999999,-40.348365545215934
Dale Afford,100,8,13,17,1055.39,-255.38999999999993,-24.198637470508526
Gavin Fitzpatrick,100,8,14,14,1413.5800000000002,-613.5799999999998,-43.406103651721146
Blake Medlyn,100,8,17,9,1369.6700000000005,-569.6700000000001,-41.5917702804325
Michael A Smith,100,8,17,14,1370.77,-570.7699999999999,-41.63864105575698
Brent Murphy,100,8,20,13,1214.49,-414.48999999999995,-34.12872893148564
Chris Geary,100,8,21,15,1037.51,-237.50999999999993,-22.89230947171593
Lisa Ryan,100,8,21,15,1466.8600000000001,-666.86,-45.461734589531375
Leigh Sutton,100,9,3,12,1031.4,-131.39999999999995,-12.739965095986033
Shane Steele,100,9,5,5,609.92,290.08,47.56033578174187
Blake Hughes,100,9,7,7,1002.7099999999999,-102.70999999999997,-10.243240817384883
Amy Diebert,100,9,8,6,871.7100000000002,28.28999999999997,3.245345355680211
Lola Weidemann,100,9,8,6,794.21,105.79000000000005,13.320154619055419
Jodi Quinlan,100,9,8,14,1043.24,-143.2399999999999,-13.730301752233418
Mitchell Miller,100,9,9,8,1000.9999999999999,-100.99999999999997,-10.089910089910088
Tristan Larsen,100,9,9,11,1036.23,-136.23,-13.146695231753567
Toby Lynn,100,9,10,9,944.7500000000001,-44.74999999999987,-4.736702831436874
Nathan Hurst,100,9,10,14,1158.0299999999997,-258.03,-22.28180617082459
Zara Fitzpatrick,100,9,11,15,1510.35,-610.3499999999998,-40.41116297546925
Shane Graham,100,9,12,6,1287.77,-387.7699999999999,-30.111743556691017
Liam Older,100,9,12,10,1206.6499999999999,-306.65,-25.413334438320973
John Walters,100,9,13,8,956.7099999999999,-56.709999999999965,-5.927606066624157
Dean Girardi,100,9,16,7,1360.55,-460.55,-33.85028113630517
Nathan Jack,100,9,16,10,1576.86,-676.86,-42.92454625014269
Mat Rue,100,9,19,14,1806.61,-906.6100000000001,-50.18293931728487
Molly Ison,100,10,6,7,892.45,107.55000000000005,12.051095299456557
Tamara Battle,100,10,6,9,1491.48,-491.47999999999996,-32.95250355351731
Brad Elder,100,10,7,9,1175.1299999999999,-175.13,-14.903032004969663
Kylah Madden,100,10,8,11,1407.1999999999998,-407.19999999999993,-28.93689596361569
Trista Dixon,100,10,8,12,1210.56,-210.55999999999995,-17.393602960613265
Cooper Griffiths,100,10,9,9,850.01,149.99,17.64567475676757
John Caldow,100,10,9,10,1464.7999999999997,-464.8,-31.731294374658663
Mitch Ford,100,10,9,12,1742.6,-742.5999999999998,-42.61448410421209
Travis Bullock,100,10,10,10,1086.5099999999998,-86.50999999999999,-7.9621908680085784
Reagan Clarke,100,10,11,14,1159.2,-159.19999999999993,-13.733609385783293
Sebastian Piltz,100,10,11,16,828.4399999999999,171.56000000000003,20.708802085848106
Jorja Daskalovski,100,10,12,9,1344.3899999999999,-344.3900000000001,-25.61682249942354
Kyle Symington,100,10,12,11,1043.6000000000001,-43.5999999999999,-4.177845917976226
Taleah McMullen,100,10,12,13,1276.52,-276.52,-21.662018613104376
Stuart McDonald,100,10,12,14,1059.97,-59.969999999999985,-5.657707293602647
Corey Johnson,100,10,15,15,1518.92,-518.9200000000001,-34.16374792615806
Maddison Brown,100,10,16,8,1354.6899999999998,-354.68999999999994,-26.18237382722246
Todd Rattray,100,10,16,12,1604.3400000000001,-604.3399999999999,-37.66907264046274
Jordan Leedham,100,10,16,14,1322.88,-322.8799999999999,-24.407353652636658
Bailey McDonough,100,10,17,7,1063.71,-63.71000000000002,-5.98941440806235
Alanah Richardson,100,10,17,13,1512.2299999999998,-512.2299999999999,-33.87249294088862
Roger Strong,100,11,6,8,730.5999999999999,369.40000000000003,50.561182589652354
Sara Grout,100,11,6,12,1000.65,99.35000000000008,9.928546444810882
Shannon Suvaljko,100,11,7,13,1104.3,-4.299999999999937,-0.3893869419541734
Taylah Osmond,100,11,10,9,1425.98,-325.97999999999996,-22.860068163648855
Dean Chapple,100,11,10,12,1377.7000000000003,-277.7,-20.156783044204104
Paula Sapio,100,11,10,15,1150.37,-50.369999999999926,-4.3785912358632375
Adam Sanderson,100,11,11,8,1094.46,5.539999999999992,0.5061856988834669
Blake Fitzpatrick,100,11,11,9,1065.3799999999999,34.62000000000002,3.249544763370818
Greg Bennett,100,11,11,11,1072.71,27.290000000000006,2.5440240139459878
Trent Dawson,100,11,12,15,1771.74,-671.74,-37.91414090103514
Matt Elkins,100,11,12,16,1456.3899999999999,-356.39,-24.47078049148923
Chris Lewis,100,11,13,6,1175.75,-75.74999999999996,-6.442696151392724
Blake Pace,100,11,13,9,1087.92,12.08000000000006,1.1103757629237498
Gareth Rattray,100,11,13,14,1198.06,-98.05999999999997,-8.184898919920535
Chloe Formosa,100,11,15,7,1282.75,-182.74999999999994,-14.246735529136616
Chris Voak,100,11,15,13,1595.61,-495.60999999999996,-31.060848202254938
Aldo Cortopassi,100,11,16,10,1517.1799999999998,-417.18000000000006,-27.497066926798407
Abby Sanderson,100,12,6,16,1385.0399999999997,-185.0399999999999,-13.359902963091313
John O'Shea,100,12,7,12,1447.6299999999999,-247.62999999999994,-17.105890317277204
Codi Rauchenberger,100,12,9,10,1202.78,-2.7800000000000313,-0.23113121269060272
Cameron Fitzpatrick,100,12,10,9,1314.41,-114.40999999999997,-8.704285572994724
Blake Micallef,100,12,10,10,1162.44,37.560000000000045,3.2311345101682702
Aaron Dunn,100,12,10,12,2000.15,-800.15,-40.004499662525305
Jack Chapple,100,12,11,7,1116.9699999999998,83.0300000000001,7.433503137953582
Nathan Rothwell,100,12,11,12,1208.91,-8.91000000000001,-0.7370275702905932
Jocelyn Young,100,12,11,13,1517.0,-316.9999999999999,-20.896506262359914
Bryse McElhinney,100,12,11,17,1178.6999999999998,21.300000000000058,1.8070755917536323
Amanda Turnbull,100,12,13,8,1619.0099999999998,-419.0099999999999,-25.88063075583226
Tom Callaghan,100,12,13,11,1596.8700000000001,-396.86999999999995,-24.852993668864713
James Rattray,100,12,13,23,1744.41,-544.4099999999999,-31.208832785870282
