Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Jodi Quinlan,100,10,14,16,1706.4999999999998,-706.4999999999999,-41.40052739525344
Michael Formosa,100,10,13,6,1241.2099999999998,-241.21000000000006,-19.433456063035273
Mitchell Miller,100,10,12,11,1887.8,-887.7999999999998,-47.02828689479817
Nathan Rothwell,100,10,12,11,1849.49,-849.49,-45.93104044898864
Shane Hallcroft,89,10,10,18,1193.48,-193.48,-16.21141535677179
Anthony Varga,100,10,10,10,1096.41,-96.40999999999997,-8.793243403471324
Madeliene Young,100,10,9,30,1904.1599999999999,-904.1600000000001,-47.483404755902875
Nathan Hurst,100,10,9,15,1356.19,-356.19000000000005,-26.26401905337748
Jemma Coney,100,10,9,10,1656.0,-656.0,-39.61352657004831
Darren Billinger,61,10,9,8,1325.52,-325.52000000000004,-24.557909348783877
Ajay Markham,53,10,8,8,1112.5300000000002,-112.52999999999996,-10.114783421570648
Glenn Douglas,62,10,8,7,1203.0199999999995,-203.01999999999998,-16.87586241292747
Michael Munro,49,10,7,7,663.5100000000001,336.49,50.713629033473495
Dylan Egerton-Green,100,9,17,16,1958.0000000000002,-1058.0,-54.034729315628184
Gaita Pullicino,100,9,16,14,1887.08,-987.0799999999998,-52.30726837230005
Paige Bevan,100,9,16,11,1596.1899999999998,-696.1899999999999,-43.615734968894685
Aldo Cortopassi,100,9,16,8,1805.83,-905.8299999999998,-50.16142161776025
Callan Suvaljko,100,9,15,15,1320.8799999999999,-420.88,-31.863606080794625
Brendan Barnes,100,9,15,13,1865.6999999999998,-965.6999999999999,-51.760733236854804
Blake Micallef,100,9,14,19,1779.2600000000002,-879.2599999999999,-49.41717343165134
Gary Pekin,99,9,14,18,1251.4399999999998,-351.44,-28.082848558460654
Phoebe Betts,100,9,14,10,1685.63,-785.63,-46.60749986651875
George Lee,62,9,14,6,1062.47,-162.47000000000003,-15.291725884024961
Chris Playle,100,9,13,17,1090.3400000000001,-190.33999999999997,-17.456940037052657
Nathan Turnbull,100,9,13,10,1879.35,-979.3499999999998,-52.111102242796704
Isobel Ross,100,9,13,9,1625.3300000000002,-725.33,-44.62662966905182
Tom Callaghan,100,9,13,9,2221.53,-1321.53,-59.48738031896935
Nathan Turvey,73,9,12,11,1455.21,-555.21,-38.15325623105944
Dan Morgan,94,9,11,18,878.2299999999999,21.770000000000046,2.4788495041162393
Ryan Warwick,100,9,10,10,1733.6599999999999,-833.6599999999999,-48.0867067360382
Travis Bullock,100,9,9,14,1333.9,-433.9,-32.52867531299197
Glenn Bull,100,9,9,13,1059.48,-159.48,-15.052667346245327
Dannielle McMullen,100,9,7,13,1238.22,-338.21999999999997,-27.315016717546154
Dale Afford,50,9,7,9,961.32,-61.31999999999999,-6.378729247284983
Malcom Jones,77,9,7,8,1024.2,-124.20000000000002,-12.126537785588754
Melissa Hawke,61,9,7,4,588.1799999999998,311.82000000000005,53.01438335203511
Zac Chappenden,100,9,5,9,1182.3400000000001,-282.34,-23.879763858111875
Roger Strong,44,9,4,6,434.8,465.2,106.99172033118676
David Smith,100,8,24,18,1655.3999999999996,-855.3999999999999,-51.67331158632354
Kyle Symington,100,8,21,17,2035.35,-1235.3499999999997,-60.69472080968874
Grace Panella,100,8,13,11,1897.69,-1097.69,-57.843483392967244
Juanita Breen,58,8,13,11,961.97,-161.97,-16.837323409253926
Tiarna Ford,89,8,13,10,1492.3,-692.3,-46.39147624472291
Darby McGuigan,85,8,13,6,1393.2900000000004,-593.29,-42.58194632847431
Mikayla Towers,54,8,13,4,633.01,166.99,26.380309947710153
Daryl Douglas,87,8,12,3,1215.97,-415.96999999999997,-34.20890318017714
Angus Garrard,100,8,11,15,2194.3200000000006,-1394.3199999999997,-63.542236319224145
Jason Turnbull,100,8,11,15,1353.8099999999997,-553.81,-40.90751287108236
Lauren Harper,92,8,11,9,1213.05,-413.05,-34.05053377849223
Sean O'Sullivan,100,8,9,15,1444.9199999999998,-644.9199999999998,-44.63361293358801
Tom Gilligan,47,8,9,7,1140.26,-340.26,-29.840562678687316
Leonard Cain,100,8,8,14,1767.29,-967.2900000000001,-54.73295271291073
Chris Geary,100,8,8,6,1280.5,-480.4999999999998,-37.524404529480655
Narissa Elkins,100,8,7,17,1575.44,-775.4399999999999,-49.220535215558826
Geoff Webster,23,8,7,2,587.6300000000001,212.37,36.14008815070707
Hannah Van dongen,100,8,6,12,903.1399999999999,-103.13999999999996,-11.42015634342405
John Justice,53,8,4,7,982.55,-182.54999999999998,-18.579207165029768
Ross Graham,66,8,3,7,721.39,78.61,10.897018256421632
Dean Girardi,100,7,18,14,1396.58,-696.5799999999998,-49.877558034627434
James Locke,100,7,15,8,1797.4800000000002,-1097.4800000000002,-61.056590337583735
Shane Steele,80,7,14,10,740.49,-40.48999999999998,-5.468000918310845
Neil Day,56,7,13,7,1117.6499999999999,-417.65,-37.36858587214245
Declan Murphy,100,7,12,11,1265.81,-565.8100000000002,-44.699441464358806
