Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
K J F Charles,12,1,0,0,44.78,55.220000000000006,123.31397945511391
W Justins,12,1,0,0,77.46999999999998,22.529999999999994,29.082225377565507
G C Pekin,12,1,0,2,40.23999999999999,59.76,148.50894632206763
D J Gravolin,12,1,1,0,171.6,-71.6,-41.72494172494172
K E Rattray,12,1,1,0,96.2,3.799999999999997,3.950103950103947
J D Betts,12,1,1,1,60.08,39.92,66.44474034620507
C J Butler,12,1,1,2,193.49,-93.49000000000001,-48.317742518993235
A W Schembri,12,1,2,0,157.70999999999998,-57.709999999999994,-36.59247986811236
R K Bartley,12,1,2,1,203.89999999999998,-103.89999999999999,-50.95635115252575
D M Atkinson,12,1,2,2,270.90999999999997,-170.90999999999997,-63.0873721900262
S R Garraway,12,1,3,4,164.67000000000002,-64.66999999999999,-39.27248436266471
D J Rodger,11,1,0,0,131.58,-31.579999999999995,-24.000607995136033
G F Webster,11,1,0,0,116.10000000000001,-16.099999999999994,-13.867355727820838
B K Woodhouse,11,1,1,0,113.51999999999998,-13.520000000000001,-11.909795630725867
M A Vlemmix,11,1,1,0,104.03999999999999,-4.039999999999997,-3.8831218762014585
K L Dawson,11,1,1,3,135.43,-35.43000000000001,-26.161116443919376
C C Reeves,11,1,2,0,158.46,-58.459999999999994,-36.89259119020573
D A Brown,11,1,2,0,181.92999999999998,-81.93,-45.03380421041061
D Aiken,11,1,2,1,115.21999999999998,-15.220000000000002,-13.209512237458778
P K Tilbrook,10,1,0,0,29.07,70.92999999999998,243.99724802201575
P M Wood,10,1,0,1,67.06,32.94,49.120190873844315
S F Hoban,10,1,0,3,102.82000000000001,-2.8199999999999914,-2.7426570706088222
M T Hewitt,10,1,1,0,123.21000000000001,-23.21000000000001,-18.837756675594523
J M Warnock,10,1,1,1,105.7,-5.699999999999999,-5.392620624408703
D I Dwyer,10,1,1,2,95.27,4.729999999999997,4.964836779678804
G H Franklin,10,1,1,2,179.89,-79.89,-44.410473066874204
J E Collins,10,1,1,2,168.0,-68.0,-40.476190476190474
S L Ewen,10,1,1,2,145.26999999999998,-45.26999999999999,-31.162662628209535
M J Painting,10,1,2,0,155.66,-55.660000000000004,-35.757420017987926
C D Brown,10,1,3,1,167.57999999999998,-67.58,-40.32700799618093
A M Woodmansey,10,1,3,2,158.67,-58.67,-36.97611394718599
K N Prentice,45,2,7,4,718.67,-518.6700000000001,-72.17081553425079
B P Portelli,37,2,4,4,673.01,-473.00999999999993,-70.28275954294884
C S Hynam,36,2,1,4,134.77999999999997,65.22000000000003,48.389968838106576
D J McCall,35,2,4,5,399.78000000000003,-199.77999999999994,-49.97248486667665
R J Sallis,33,2,4,4,389.81000000000006,-189.81,-48.692952977091394
R P Bell,33,2,6,2,540.02,-340.02,-62.96433465427206
K A Towers,32,2,2,4,322.21000000000004,-122.21,-37.92868005338133
M B Towers,31,2,0,1,202.7,-2.699999999999991,-1.3320177602367989
A M Alford,28,2,3,2,509.60999999999996,-309.61,-60.75430230960932
D J Goulden,28,2,6,4,185.73999999999998,14.260000000000009,7.677398514051906
I W Smith,27,2,5,4,423.24999999999994,-223.25,-52.74660366213823
P J Duggan,26,2,0,1,77.88000000000001,122.12,156.80534155110425
I C Wilson,26,2,1,2,216.04000000000002,-16.040000000000013,-7.4245510090724
D E Russell,25,2,0,5,415.53,-215.53,-51.86869780761919
S T Hewitt,24,2,3,4,299.91999999999996,-99.91999999999999,-33.31555081355028
A R Ruggari,23,2,3,4,405.7,-205.7,-50.702489524279024
J B Tormey,23,2,3,4,406.7,-206.7,-50.82370297516597
M J Day,23,2,3,5,305.84000000000003,-105.83999999999997,-34.60633010724561
L Chiang,22,2,0,1,200.00999999999996,-0.009999999999993125,-0.004999750012495939
L Tabone,22,2,1,3,247.34,-47.339999999999996,-19.139645831648743
E J Jones,22,2,3,4,318.17,-118.16999999999999,-37.14052236225916
M A Callaghan,21,2,1,3,276.65999999999997,-76.66,-27.709101424130704
K J Pizzuto,21,2,2,3,350.2900000000001,-150.29000000000002,-42.904450598075876
D I Harris,21,2,4,6,288.28000000000003,-88.28000000000002,-30.62300541140558
L Watson,21,2,5,5,210.57000000000002,-10.569999999999993,-5.019708410504816
T J Munday,20,2,2,3,303.94,-103.93999999999997,-34.19753898795814
R J East,20,2,3,1,183.76,16.239999999999995,8.837614279494991
D P Barbetti,20,2,4,1,222.29,-22.29,-10.027441630302757
S L Suvaljko,19,2,1,4,244.88,-44.879999999999995,-18.327344005227047
B A Lynn,19,2,3,1,186.29000000000002,13.710000000000022,7.359493263191809
R P Hutchinson,19,2,4,4,332.70000000000005,-132.7,-39.88578298767658
C M Watson,18,2,2,1,331.09999999999997,-131.1,-39.59528843249774
L R Edwards,18,2,3,2,152.62,47.38,31.04442405975626
D A Murphy,17,2,1,1,239.81,-39.80999999999999,-16.600642175055246
K A McDeed,17,2,3,1,365.83,-165.82999999999998,-45.329797993603584
P J Greig,16,2,1,4,256.97,-56.97,-22.16990310152936
T E Pullicino,15,2,0,6,100.13,99.86999999999999,99.74033756117048
P S Kahlefeldt,15,2,1,0,130.51999999999998,69.47999999999999,53.23322096230463
D T Reay,15,2,1,1,161.26999999999998,38.73,24.01562596887208
G Inwood,15,2,2,1,279.52000000000004,-79.52000000000001,-28.448769318832284
N M Hargraves,15,2,2,1,186.27,13.729999999999999,7.371020561550437
D J Binskin,15,2,3,1,154.24999999999997,45.74999999999999,29.659643435980556
C L Peterson,14,2,0,3,166.99000000000004,33.010000000000005,19.76765075753039
J A Boserio,14,2,1,1,201.02,-1.0199999999999996,-0.5074121977912643
P J Brown,14,2,2,0,179.69,20.309999999999995,11.302799265401523
J H Barker,14,2,3,0,187.76999999999998,12.230000000000013,6.513287532619702
D W Girardi,14,2,4,3,143.55999999999997,56.440000000000005,39.31457230426304
J A Young,14,2,5,5,332.28000000000003,-132.28,-39.809798964728536
P R J Fitzpatrick,13,2,1,1,207.34,-7.339999999999996,-3.540079097135138
J T Walker,13,2,1,2,124.66999999999997,75.33000000000003,60.4235180877517
K D Sugars,13,2,2,1,249.28999999999996,-49.28999999999999,-19.772152914276546
W R Potter,12,2,0,2,144.09,55.91000000000001,38.80213755291832
G J Gerrard,12,2,0,5,192.91,7.0900000000000105,3.675288994868079
K J Routley,12,2,1,0,151.14000000000001,48.86,32.32764324467381
"S M McNaulty, J M McNaulty",12,2,1,1,265.45000000000005,-65.45,-24.65624411376907
J A Whitaker,11,2,0,1,141.96999999999997,58.03000000000001,40.87483271113617
M W Smith,11,2,0,2,71.53999999999999,128.46,179.56388034665923
"R A Hoare, T A Hoare",11,2,0,2,171.89000000000001,28.110000000000003,16.353481877945196
S R Clarke,11,2,1,0,157.82000000000002,42.18000000000001,26.72665061462426
D A Dwyer,11,2,1,1,164.77999999999997,35.22,21.37395314965409
K M Males,11,2,1,3,113.28999999999999,86.71000000000001,76.53808809250597
R L Ashwood,11,2,2,0,158.7,41.29999999999999,26.023944549464396
C L Rauchenberger,10,2,0,1,229.54,-29.53999999999999,-12.869216694258077
G J White,10,2,1,0,112.55999999999997,87.44,77.68301350390904
J R Fagg,10,2,1,3,104.28,95.72,91.79133103183736
L E Wilson,10,2,2,1,244.83999999999997,-44.84000000000002,-18.314000980232
M L Charman,10,2,2,3,203.11,-3.1099999999999923,-1.5311899955688997
G J Dawson,10,2,3,3,239.64999999999998,-39.64999999999999,-16.54496140204465
B A Lilley,54,3,4,6,645.5600000000001,-345.56,-53.528719251502565
P L Anderson,50,3,6,7,584.58,-284.58,-48.68110438263368
D S Waite,47,3,6,7,421.09,-121.08999999999999,-28.756322876344726
L C Jurd,35,3,6,3,328.84000000000003,-28.840000000000003,-8.770222600656854
D J D Smith,31,3,4,4,450.46999999999997,-150.47,-33.40289031456035
S W Dickson,28,3,1,2,297.17,2.830000000000003,0.9523168556718387
S M Grima,28,3,5,4,649.6000000000001,-349.6,-53.81773399014777
A M Ashwood,27,3,4,2,711.8299999999999,-411.83000000000004,-57.85510585392581
T J Hodges,25,3,0,3,221.70000000000002,78.3,35.317997293640055
T J Dawson,25,3,3,3,389.52,-89.51999999999998,-22.982131854590264
M G Reed,24,3,3,1,438.41,-138.41000000000003,-31.570903948358847
C D Voak,23,3,1,3,356.44000000000005,-56.440000000000005,-15.834362024464143
M P Rue,23,3,2,2,341.38999999999993,-41.389999999999986,-12.123963795073083
S A Grimsey,23,3,3,4,501.09000000000003,-201.08999999999995,-40.130515476261735
