Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
A M Ashwood,27,3,4,2,711.8299999999999,-411.83000000000004,-57.85510585392581
J K Donovan,21,3,4,1,264.23,35.770000000000024,13.537448435075511
P A Keogh,14,3,4,1,236.63000000000002,63.370000000000026,26.78020538393273
S A Grimsey,23,3,3,4,501.09000000000003,-201.08999999999995,-40.130515476261735
T J Dawson,25,3,3,3,389.52,-89.51999999999998,-22.982131854590264
B C Smith,14,3,3,1,134.79999999999998,165.2,122.55192878338279
M G Reed,24,3,3,1,438.41,-138.41000000000003,-31.570903948358847
J G Newberry,12,3,3,0,214.69000000000003,85.31000000000003,39.73636405980717
L A McCarthy,18,3,2,3,441.79999999999995,-141.8,-32.09597102761431
G P Jones,15,3,2,2,289.28,10.720000000000013,3.7057522123893856
M P Rue,23,3,2,2,341.38999999999993,-41.389999999999986,-12.123963795073083
"M J Schrader, B L Smith",9,3,2,1,244.94,55.06000000000002,22.478974442720673
D C Garrard,15,3,1,4,326.31999999999994,-26.319999999999993,-8.065702378033832
C D Voak,23,3,1,3,356.44000000000005,-56.440000000000005,-15.834362024464143
M T Hawke,21,3,1,3,315.02000000000004,-15.019999999999989,-4.767951241191031
B A Stanley,8,3,1,2,108.69999999999999,191.29999999999998,175.98896044158235
M G Brennan,14,3,1,2,291.19999999999993,8.800000000000004,3.021978021978024
S W Dickson,28,3,1,2,297.17,2.830000000000003,0.9523168556718387
T Abela,12,3,1,2,294.59,5.410000000000018,1.8364506602396615
M C Williams,8,3,1,1,112.25999999999999,187.73999999999998,167.2367717797969
S J Zammit,10,3,1,1,241.82,58.18000000000001,24.059217599867676
J R Sutton,6,3,1,0,119.64,180.36,150.75225677031094
N J Elkins,8,3,1,0,168.47,131.53,78.07324746245624
R G Williams,8,3,1,0,178.87,121.13,67.71957287415441
A C Duggan,17,3,0,4,111.21,188.79000000000005,169.75991367682767
T J Hodges,25,3,0,3,221.70000000000002,78.3,35.317997293640055
A M Golino,16,3,0,2,252.39999999999998,47.599999999999966,18.858954041204427
G E Hall Snr,11,3,0,1,483.62,-183.61999999999998,-37.967825979074476
A T McDonough,3,3,0,0,101.97,198.02999999999997,194.2041776993233
B W Muscat,6,3,0,0,175.99,124.00999999999999,70.46423092221148
E J Tappe,6,3,0,0,143.16,156.84,109.55574182732607
G P Elliott,11,3,0,0,183.01999999999995,116.97999999999998,63.916511856627686
K N Prentice,45,2,7,4,718.67,-518.6700000000001,-72.17081553425079
D J Goulden,28,2,6,4,185.73999999999998,14.260000000000009,7.677398514051906
R P Bell,33,2,6,2,540.02,-340.02,-62.96433465427206
J A Young,14,2,5,5,332.28000000000003,-132.28,-39.809798964728536
L Watson,21,2,5,5,210.57000000000002,-10.569999999999993,-5.019708410504816
I W Smith,27,2,5,4,423.24999999999994,-223.25,-52.74660366213823
D I Harris,21,2,4,6,288.28000000000003,-88.28000000000002,-30.62300541140558
D J McCall,35,2,4,5,399.78000000000003,-199.77999999999994,-49.97248486667665
B P Portelli,37,2,4,4,673.01,-473.00999999999993,-70.28275954294884
R J Sallis,33,2,4,4,389.81000000000006,-189.81,-48.692952977091394
R P Hutchinson,19,2,4,4,332.70000000000005,-132.7,-39.88578298767658
D W Girardi,14,2,4,3,143.55999999999997,56.440000000000005,39.31457230426304
D P Barbetti,20,2,4,1,222.29,-22.29,-10.027441630302757
M J Day,23,2,3,5,305.84000000000003,-105.83999999999997,-34.60633010724561
A R Ruggari,23,2,3,4,405.7,-205.7,-50.702489524279024
E J Jones,22,2,3,4,318.17,-118.16999999999999,-37.14052236225916
J B Tormey,23,2,3,4,406.7,-206.7,-50.82370297516597
S T Hewitt,24,2,3,4,299.91999999999996,-99.91999999999999,-33.31555081355028
G J Dawson,10,2,3,3,239.64999999999998,-39.64999999999999,-16.54496140204465
A M Alford,28,2,3,2,509.60999999999996,-309.61,-60.75430230960932
L R Edwards,18,2,3,2,152.62,47.38,31.04442405975626
B A Lynn,19,2,3,1,186.29000000000002,13.710000000000022,7.359493263191809
D J Binskin,15,2,3,1,154.24999999999997,45.74999999999999,29.659643435980556
K A McDeed,17,2,3,1,365.83,-165.82999999999998,-45.329797993603584
R J East,20,2,3,1,183.76,16.239999999999995,8.837614279494991
J H Barker,14,2,3,0,187.76999999999998,12.230000000000013,6.513287532619702
K A Towers,32,2,2,4,322.21000000000004,-122.21,-37.92868005338133
K J Pizzuto,21,2,2,3,350.2900000000001,-150.29000000000002,-42.904450598075876
M L Charman,10,2,2,3,203.11,-3.1099999999999923,-1.5311899955688997
T J Munday,20,2,2,3,303.94,-103.93999999999997,-34.19753898795814
A Ruokonen,7,2,2,2,162.98,37.02,22.714443489998775
C J Petroff,8,2,2,2,158.47000000000003,41.53,26.206853032119643
C M Watson,18,2,2,1,331.09999999999997,-131.1,-39.59528843249774
D M Belford,9,2,2,1,86.83,113.16999999999997,130.33513762524473
D R Wilson,7,2,2,1,159.9,40.099999999999994,25.078173858661657
G Inwood,15,2,2,1,279.52000000000004,-79.52000000000001,-28.448769318832284
K D Sugars,13,2,2,1,249.28999999999996,-49.28999999999999,-19.772152914276546
L E Wilson,10,2,2,1,244.83999999999997,-44.84000000000002,-18.314000980232
N M Hargraves,15,2,2,1,186.27,13.729999999999999,7.371020561550437
R J Young,9,2,2,1,98.42,101.58,103.210729526519
P J Brown,14,2,2,0,179.69,20.309999999999995,11.302799265401523
R L Ashwood,11,2,2,0,158.7,41.29999999999999,26.023944549464396
C S Hynam,36,2,1,4,134.77999999999997,65.22000000000003,48.389968838106576
P J Greig,16,2,1,4,256.97,-56.97,-22.16990310152936
S L Suvaljko,19,2,1,4,244.88,-44.879999999999995,-18.327344005227047
J R Fagg,10,2,1,3,104.28,95.72,91.79133103183736
K M Males,11,2,1,3,113.28999999999999,86.71000000000001,76.53808809250597
L Tabone,22,2,1,3,247.34,-47.339999999999996,-19.139645831648743
M A Callaghan,21,2,1,3,276.65999999999997,-76.66,-27.709101424130704
I C Wilson,26,2,1,2,216.04000000000002,-16.040000000000013,-7.4245510090724
J T Walker,13,2,1,2,124.66999999999997,75.33000000000003,60.4235180877517
N A Turvey,9,2,1,2,214.91000000000003,-14.909999999999997,-6.937787911218647
D A Dwyer,11,2,1,1,164.77999999999997,35.22,21.37395314965409
D A Murphy,17,2,1,1,239.81,-39.80999999999999,-16.600642175055246
D L Costello,7,2,1,1,86.50999999999999,113.48999999999998,131.18714599468268
D T Reay,15,2,1,1,161.26999999999998,38.73,24.01562596887208
J A Boserio,14,2,1,1,201.02,-1.0199999999999996,-0.5074121977912643
P R J Fitzpatrick,13,2,1,1,207.34,-7.339999999999996,-3.540079097135138
R J L Williams,5,2,1,1,184.33,15.669999999999987,8.501057885314374
"S M McNaulty, J M McNaulty",12,2,1,1,265.45000000000005,-65.45,-24.65624411376907
"T K Gange, J G Allan-Gange",6,2,1,1,103.32,96.67999999999999,93.57336430507162
D W Krafft,9,2,1,0,196.32999999999998,3.6700000000000124,1.8693016859369491
G J White,10,2,1,0,112.55999999999997,87.44,77.68301350390904
J Vassallo,5,2,1,0,155.95999999999998,44.04,28.238009746088743
K J Routley,12,2,1,0,151.14000000000001,48.86,32.32764324467381
N F Jerrick,6,2,1,0,118.03999999999999,81.96000000000001,69.43409013893597
P P Borrelli,6,2,1,0,150.82999999999998,49.17000000000001,32.59961546111517
P S Kahlefeldt,15,2,1,0,130.51999999999998,69.47999999999999,53.23322096230463
S R Clarke,11,2,1,0,157.82000000000002,42.18000000000001,26.72665061462426
T E Pullicino,15,2,0,6,100.13,99.86999999999999,99.74033756117048
D E Russell,25,2,0,5,415.53,-215.53,-51.86869780761919
