Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Angus Garrard,100,13,12,12,1663.2099999999998,-363.20999999999987,-21.837891787567408
Neil Day,100,13,12,14,1708.9499999999998,-408.9499999999999,-23.929898475672193
Zac Phillips,100,13,13,5,1458.8099999999997,-158.81,-10.886270316216645
Aldo Cortopassi,100,13,14,13,1888.49,-588.4899999999999,-31.161933608332575
Mark Yole,100,13,14,13,1782.5299999999997,-482.53,-27.069951136867264
Dale Afford,100,13,14,14,1355.1899999999996,-55.18999999999988,-4.072491680133405
Jackie Barker,100,13,15,11,1442.6399999999999,-142.64,-9.88742860311651
Tom Callaghan,100,13,17,8,1870.08,-570.08,-30.48425735797399
Hannah Lewis,100,14,9,8,1245.51,154.49000000000007,12.403754285393138
Dylan Egerton-Green,100,14,10,12,1538.93,-138.93,-9.027701065025699
Amy Day,100,14,10,13,1078.4499999999998,321.55,29.815939542862445
Connor Clarke,100,14,11,9,1576.3600000000001,-176.36,-11.187799741175873
Isobel Ross,100,14,12,6,1340.4899999999996,59.510000000000026,4.439421405605416
Ryan Warwick,100,14,12,11,1004.5600000000001,395.44000000000005,39.36449788962332
Todd Rattray,100,14,13,9,1577.4700000000003,-177.47,-11.250293190995707
Damian Wilson,100,14,13,14,1931.6699999999998,-531.67,-27.523852417856055
Narissa Elkins,100,14,14,8,1571.95,-171.94999999999996,-10.938643086612167
Robert Morris,100,14,14,9,1945.09,-545.0899999999999,-28.023896066505916
Chris Svanosio,100,14,14,14,1726.2099999999998,-326.20999999999987,-18.89746902172968
Anthony Frisby,100,14,17,7,1730.16,-330.15999999999997,-19.082628196236186
Jodi Quinlan,100,14,17,11,1471.65,-71.64999999999992,-4.868684809567487
Gary Bond,100,14,17,18,1514.0,-113.9999999999999,-7.529722589167761
Jett Turnbull,100,15,10,12,2247.03,-747.03,-33.24521701979947
Ryan Backhouse,100,15,11,12,1545.82,-45.81999999999998,-2.9641226015965625
Lisa Miles,100,15,13,12,1337.1000000000001,162.90000000000003,12.183082791115101
Corey Johnson,100,15,14,12,1456.17,43.83000000000005,3.009950761243539
