Race Anchor,Venue,Date,MeetingTime,Race No,Time,State,VenDist Sample,Horse No,Horse,Race Name,Distance,Prizemoney,Barrier,Trainer,Driver,RaceAnchorFull,RunnerAnchor,Gait,Start,VenDist,VenDistGaitStart,VenDistGaitStart Sample,BM LT,BM Q1,BM Q2,BM Q3,BM Q4,Br Sts,Br Wins,Br Places,Br Win %,Br Pla %,Br ROI %,Dr Sts,Dr Win,Dr Pla,Dr Win%,Dr Pla%,Dr ROI%,Tr Sts,Tr Win,Tr Pla,Tr Win%,Tr Pla%,Tr ROI%,Driver_clean,Dr 30 Sts,Dr 30 Win,Dr 30 Pla,Dr 30 Win %,Dr 30 Pla %,Dr 30 ROI %,Dr 90 Sts,Dr 90 Win,Dr 90 Pla,Dr 90 Win %,Dr 90 Pla %,Dr 90 ROI %,Dr 180 Sts,Dr 180 Win,Dr 180 Pla,Dr 180 Win %,Dr 180 Pla %,Dr 180 ROI %,Dr 365 Sts,Dr 365 Win,Dr 365 Pla,Dr 365 Win %,Dr 365 Pla %,Dr 365 ROI %,Dr All Sts,Dr All Win,Dr All Pla,Dr All Win %,Dr All Pla %,Dr All ROI %,Ld %,Dth %,BL %,Bell Pos Sts,Bell Pos Lead,Bell Pos Lead %,Bell Pos Lead ROI %,Bell Pos BL,Bell Pos BL %,Bell Pos BL ROI %,Bell Pos Dth,Bell Pos Dth %,Bell Pos Dth ROI %,Tr 30 Sts,Tr 30 Win,Tr 30 Pla,Tr 30 Win %,Tr 30 Pla %,Tr 30 ROI %,Tr 90 Sts,Tr 90 Win,Tr 90 Pla,Tr 90 Win %,Tr 90 Pla %,Tr 90 ROI %,Tr 180 Sts,Tr 180 Win,Tr 180 Pla,Tr 180 Win %,Tr 180 Pla %,Tr 180 ROI %,Tr 365 Sts,Tr 365 Win,Tr 365 Pla,Tr 365 Win %,Tr 365 Pla %,Tr 365 ROI %,Tr All Sts,Tr All Win,Tr All Pla,Tr All Win %,Tr All Pla %,Tr All ROI %
AP160825,Albion Park,2025-08-16,Night,2,6:15 PM,QLD,2034,1.0,COSMIC FLYER,QBRED TRIAD FINAL - 4YO ENTIRES & GELDINGS (G2),2138.0,"$76,500",FR1,A D Gorman,Gary Bond,AP160825_R2,AP160825_R2_COSMIC FLYER,PACERS,Mobile,Albion Park_2138.0,Albion Park_2138.0_pacers_mobile,1376,37.5,30.3,30.0,28.2,28.4,1376.0,182.0,434.0,13.23,44.77,-25.57,31.0,2.0,4.0,6.45,19.35,9.47,39.0,5.0,4.0,12.82,23.08,-23.87,gary bond,34.0,3.0,12.0,8.82,44.12,-20.27,82.0,12.0,29.0,14.63,50.0,-1.99,141.0,19.0,50.0,13.48,48.94,-13.96,179.0,21.0,53.0,11.73,41.34,-14.63,179.0,21.0,53.0,11.73,41.34,-14.63,7.3,12.2,0.0,41.0,3.0,7.3,185.7,0.0,0.0,0.0,5.0,12.2,-14.2,8.0,1.0,2.0,12.5,37.5,25.17,19.0,2.0,6.0,10.53,42.11,-19.29,32.0,4.0,11.0,12.5,46.88,-22.33,52.0,8.0,14.0,15.38,42.31,-13.7,81.0,11.0,21.0,13.58,39.51,-24.26
AP160825,Albion Park,2025-08-16,Night,2,6:15 PM,QLD,2034,2.0,TAKE A CHANCE,QBRED TRIAD FINAL - 4YO ENTIRES & GELDINGS (G2),2138.0,"$76,500",SCR-,M J Elkins,SCRATCHED,AP160825_R2,AP160825_R2_TAKE A CHANCE,PACERS,Mobile,Albion Park_2138.0,Albion Park_2138.0_pacers_mobile,1376,37.5,30.3,30.0,28.2,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.0,79.0,150.0,12.7,36.82,-9.53,scratched,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,13.2,7.5,53.0,7.0,13.2,2.0,4.0,7.5,-100.0,7.0,13.2,-5.6,22.0,0.0,8.0,0.0,36.36,-100.0,70.0,4.0,17.0,5.71,30.0,-48.84,159.0,18.0,39.0,11.32,35.85,-11.83,259.0,33.0,62.0,12.74,36.68,-10.71,708.0,91.0,176.0,12.85,37.71,-12.77
AP160825,Albion Park,2025-08-16,Night,2,6:15 PM,QLD,2034,3.0,HOT ROD HARRY,QBRED TRIAD FINAL - 4YO ENTIRES & GELDINGS (G2),2138.0,"$76,500",FR2,T J Dawson,Nathan Dawson,AP160825_R2,AP160825_R2_HOT ROD HARRY,PACERS,Mobile,Albion Park_2138.0,Albion Park_2138.0_pacers_mobile,1376,37.5,30.3,30.0,28.2,28.4,1376.0,153.0,269.0,11.12,30.67,-22.48,3899.0,615.0,987.0,15.77,41.09,-12.82,828.0,139.0,187.0,16.79,39.37,-8.8,nathan dawson,158.0,30.0,54.0,18.99,53.16,-4.71,465.0,82.0,131.0,17.63,45.81,-14.35,698.0,116.0,195.0,16.62,44.56,-18.95,1333.0,221.0,368.0,16.58,44.19,-18.53,7531.0,1272.0,1960.0,16.89,42.92,-13.85,20.8,25.0,4.2,24.0,5.0,20.8,-63.2,1.0,4.2,-100.0,6.0,25.0,7.4,25.0,3.0,6.0,12.0,36.0,-22.98,82.0,11.0,18.0,13.41,35.37,-15.56,130.0,20.0,28.0,15.38,36.92,-14.53,214.0,42.0,47.0,19.63,41.59,1.54,990.0,176.0,229.0,17.78,40.91,-8.46
AP160825,Albion Park,2025-08-16,Night,2,6:15 PM,QLD,2034,4.0,ATTACHMENT,QBRED TRIAD FINAL - 4YO ENTIRES & GELDINGS (G2),2138.0,"$76,500",FR3,C A Turpin,Pete McMullen,AP160825_R2,AP160825_R2_ATTACHMENT,PACERS,Mobile,Albion Park_2138.0,Albion Park_2138.0_pacers_mobile,1376,37.5,30.3,30.0,28.2,28.4,1376.0,163.0,308.0,11.85,34.23,-9.19,3979.0,811.0,1057.0,20.38,46.95,-12.68,2946.0,635.0,722.0,21.55,46.06,-9.31,pete mcmullen,80.0,22.0,15.0,27.5,46.25,-4.25,257.0,53.0,66.0,20.62,46.3,-18.97,480.0,114.0,126.0,23.75,50.0,-12.86,984.0,249.0,264.0,25.3,52.13,-9.88,6046.0,1212.0,1640.0,20.05,47.17,-13.62,28.9,8.9,6.7,45.0,13.0,28.9,58.7,3.0,6.7,98.1,4.0,8.9,-100.0,78.0,20.0,15.0,25.64,44.87,-8.35,266.0,52.0,79.0,19.55,49.25,-18.62,452.0,98.0,133.0,21.68,51.11,-19.22,796.0,178.0,221.0,22.36,50.13,-17.41,3570.0,758.0,910.0,21.23,46.72,-11.35
AP160825,Albion Park,2025-08-16,Night,2,6:15 PM,QLD,2034,5.0,BRONSKI ZULU,QBRED TRIAD FINAL - 4YO ENTIRES & GELDINGS (G2),2138.0,"$76,500",FR4,D J D Smith,Shane Graham,AP160825_R2,AP160825_R2_BRONSKI ZULU,PACERS,Mobile,Albion Park_2138.0,Albion Park_2138.0_pacers_mobile,1376,37.5,30.3,30.0,28.2,28.4,1376.0,164.0,264.0,11.92,31.1,-7.55,3025.0,366.0,773.0,12.1,37.65,-26.44,1028.0,128.0,225.0,12.45,34.34,-20.55,shane graham,82.0,9.0,13.0,10.98,26.83,-14.84,265.0,26.0,56.0,9.81,30.94,-20.81,431.0,47.0,95.0,10.9,32.95,-17.15,956.0,107.0,230.0,11.19,35.25,-26.32,4230.0,556.0,1081.0,13.14,38.7,-22.95,17.3,15.4,5.8,52.0,9.0,17.3,-20.6,3.0,5.8,77.2,8.0,15.4,-100.0,34.0,3.0,9.0,8.82,35.29,-42.49,87.0,13.0,23.0,14.94,41.38,-23.08,150.0,24.0,40.0,16.0,42.67,-25.25,307.0,58.0,77.0,18.89,43.97,-14.27,1867.0,259.0,424.0,13.87,36.58,-17.72
AP160825,Albion Park,2025-08-16,Night,2,6:15 PM,QLD,2034,6.0,DELE ROW,QBRED TRIAD FINAL - 4YO ENTIRES & GELDINGS (G2),2138.0,"$76,500",FR5,C A Turpin,Chantal Turpin,AP160825_R2,AP160825_R2_DELE ROW,PACERS,Mobile,Albion Park_2138.0,Albion Park_2138.0_pacers_mobile,1376,37.5,30.3,30.0,28.2,28.4,1373.0,130.0,259.0,9.47,28.33,-19.71,379.0,38.0,79.0,10.03,30.87,-19.36,2946.0,635.0,722.0,21.55,46.06,-9.31,chantal turpin,2.0,0.0,0.0,0.0,0.0,-100.0,11.0,0.0,1.0,0.0,9.09,-100.0,18.0,0.0,4.0,0.0,22.22,-100.0,54.0,2.0,11.0,3.7,24.07,-68.53,403.0,43.0,84.0,10.67,31.51,-15.41,35.3,2.9,8.8,34.0,12.0,35.3,23.1,3.0,8.8,-31.1,1.0,2.9,-100.0,78.0,20.0,15.0,25.64,44.87,-8.35,266.0,52.0,79.0,19.55,49.25,-18.62,452.0,98.0,133.0,21.68,51.11,-19.22,796.0,178.0,221.0,22.36,50.13,-17.41,3570.0,758.0,910.0,21.23,46.72,-11.35
AP160825,Albion Park,2025-08-16,Night,2,6:15 PM,QLD,2034,7.0,QUIK CHANGE,QBRED TRIAD FINAL - 4YO ENTIRES & GELDINGS (G2),2138.0,"$76,500",FR6,G F Dwyer,Layne Dwyer,AP160825_R2,AP160825_R2_QUIK CHANGE,PACERS,Mobile,Albion Park_2138.0,Albion Park_2138.0_pacers_mobile,1376,37.5,30.3,30.0,28.2,28.4,1319.0,118.0,234.0,8.95,26.69,-21.72,920.0,76.0,205.0,8.26,30.54,-25.24,2518.0,278.0,536.0,11.04,32.33,-20.04,layne dwyer,92.0,5.0,21.0,5.43,28.26,-55.61,331.0,25.0,76.0,7.55,30.51,-37.48,572.0,51.0,124.0,8.92,30.59,-27.23,1084.0,107.0,242.0,9.87,32.2,-24.59,1828.0,190.0,419.0,10.39,33.32,-21.77,2.1,17.0,10.6,47.0,1.0,2.1,-100.0,5.0,10.6,100.6,8.0,17.0,-43.0,74.0,5.0,15.0,6.76,27.03,-46.89,315.0,26.0,62.0,8.25,27.94,-33.48,567.0,53.0,113.0,9.35,29.28,-25.1,1092.0,108.0,238.0,9.89,31.68,-25.56,4145.0,531.0,927.0,12.81,35.17,-18.65
AP160825,Albion Park,2025-08-16,Night,2,6:15 PM,QLD,2034,8.0,CALL TO ORDER,QBRED TRIAD FINAL - 4YO ENTIRES & GELDINGS (G2),2138.0,"$76,500",SR1,G W Dixon,Adam Sanderson,AP160825_R2,AP160825_R2_CALL TO ORDER,PACERS,Mobile,Albion Park_2138.0,Albion Park_2138.0_pacers_mobile,1376,37.5,30.3,30.0,28.2,28.4,1261.0,118.0,325.0,9.36,35.13,-21.66,2055.0,252.0,454.0,12.26,34.36,-18.24,5311.0,590.0,1170.0,11.11,33.14,-17.51,adam sanderson,64.0,11.0,16.0,17.19,42.19,-12.03,167.0,31.0,42.0,18.56,43.71,1.8,326.0,52.0,88.0,15.95,42.94,-9.6,609.0,91.0,143.0,14.94,38.42,-13.7,2757.0,403.0,665.0,14.62,38.74,-12.77,0.0,12.5,6.2,48.0,0.0,0.0,0.0,3.0,6.2,234.5,6.0,12.5,-59.3,148.0,24.0,37.0,16.22,41.22,-9.94,511.0,88.0,120.0,17.22,40.7,-2.83,937.0,155.0,236.0,16.54,41.73,-4.45,1653.0,266.0,426.0,16.09,41.86,-4.88,7722.0,1005.0,1873.0,13.01,37.27,-14.33
AP160825,Albion Park,2025-08-16,Night,2,6:15 PM,QLD,2034,9.0,CHARGE AHEAD,QBRED TRIAD FINAL - 4YO ENTIRES & GELDINGS (G2),2138.0,"$76,500",SCR,G W Dixon,SCRATCHED,AP160825_R2,AP160825_R2_CHARGE AHEAD,PACERS,Mobile,Albion Park_2138.0,Albion Park_2138.0_pacers_mobile,1376,37.5,30.3,30.0,28.2,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5311.0,590.0,1170.0,11.11,33.14,-17.51,scratched,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,25.0,3.1,32.0,3.0,9.4,75.2,1.0,3.1,-100.0,8.0,25.0,31.2,148.0,24.0,37.0,16.22,41.22,-9.94,511.0,88.0,120.0,17.22,40.7,-2.83,937.0,155.0,236.0,16.54,41.73,-4.45,1653.0,266.0,426.0,16.09,41.86,-4.88,7722.0,1005.0,1873.0,13.01,37.27,-14.33
AP160825,Albion Park,2025-08-16,Night,2,6:15 PM,QLD,2034,10.0,FACT FINDER,QBRED TRIAD FINAL - 4YO ENTIRES & GELDINGS (G2),2138.0,"$76,500",SR2,T J Dawson,Trent Dawson,AP160825_R2,AP160825_R2_FACT FINDER,PACERS,Mobile,Albion Park_2138.0,Albion Park_2138.0_pacers_mobile,1376,37.5,30.3,30.0,28.2,28.4,1067.0,93.0,185.0,8.72,26.05,-18.44,996.0,156.0,216.0,15.66,37.35,-9.94,828.0,139.0,187.0,16.79,39.37,-8.8,trent dawson,23.0,2.0,5.0,8.7,30.43,-44.65,80.0,9.0,17.0,11.25,32.5,-25.1,136.0,18.0,28.0,13.24,33.82,-19.47,233.0,41.0,51.0,17.6,39.48,-3.49,1184.0,195.0,265.0,16.47,38.85,-10.02,18.8,18.8,3.1,32.0,6.0,18.8,1.4,1.0,3.1,-100.0,6.0,18.8,32.7,25.0,3.0,6.0,12.0,36.0,-22.98,82.0,11.0,18.0,13.41,35.37,-15.56,130.0,20.0,28.0,15.38,36.92,-14.53,214.0,42.0,47.0,19.63,41.59,1.54,990.0,176.0,229.0,17.78,40.91,-8.46
